,ratio,rndint,dataset,#trees,rmse,mape,r2,rmse_all,mape_all,r2_all
0,0.05,678.0,Grid1296,10.0,4.9684750185544955,0.006014333647057426,0.9957370419443932,39.63082860427796,0.043895583066591824,0.8488352114783124
1,0.05,678.0,Grid2401,10.0,14.878600899863399,0.007051324863604757,0.9263113678233642,83.02537286878469,0.08867754451866071,0.37295259537629655
2,0.05,678.0,Sobol1,10.0,13.523630036735508,0.013556176581382117,0.9875701040241747,21.782282005651492,0.017943616954778186,0.9451091500223079
3,0.05,678.0,Sobol2,10.0,15.409640449147398,0.017754228033917276,0.9830458132013543,18.573208392121387,0.015993081316183252,0.9589161795448347
4,0.05,678.0,Grid1296,100.0,4.965139146045932,0.005727914947439126,0.9957427643886405,39.781317184412245,0.044056944976879675,0.8476850076433122
5,0.05,678.0,Grid2401,100.0,12.297296491827028,0.006217032994442733,0.9496620419614297,83.68045402901073,0.0894001157823424,0.36301858533082065
6,0.05,678.0,Sobol1,100.0,11.582053712248323,0.011876557335943132,0.9908829973564359,21.290783242185313,0.017224249186110558,0.947558334010981
7,0.05,678.0,Sobol2,100.0,15.058358189006505,0.015916061292909327,0.9838099869222194,17.95463846697472,0.01522926065981812,0.9616071556019763
8,0.05,678.0,Grid1296,250.0,5.207600010297723,0.005827246976770161,0.9953168283416063,39.76368572356389,0.044052108087217594,0.8478199926506869
9,0.05,678.0,Grid2401,250.0,12.515495008997236,0.006222731027967269,0.9478598388828484,83.55476439760149,0.08926154090107447,0.3649306646296455
10,0.05,678.0,Sobol1,250.0,10.959203867901275,0.011432627802931035,0.9918372039943666,21.316200098452356,0.017252154735107304,0.947433049949937
11,0.05,678.0,Sobol2,250.0,14.8968136623972,0.015201185601285881,0.9841554932584393,18.125336774550004,0.01521784047074962,0.9608736686280663
12,0.05,678.0,Grid1296,500.0,5.1603188215488265,0.005790164334917683,0.9954014818212115,39.694605663576006,0.04399466252262696,0.8483482873626044
13,0.05,678.0,Grid2401,500.0,12.372825103850598,0.006183785506469851,0.949041802919672,83.55050080218149,0.08927520322227321,0.3649954750482032
14,0.05,678.0,Sobol1,500.0,10.777564284472602,0.011255262897008646,0.9921055446038008,21.239767927898676,0.017179487709092674,0.9478093461823524
15,0.05,678.0,Sobol2,500.0,15.04163783916855,0.015111023037797936,0.9838459207722542,18.138148366373127,0.015203031670979226,0.9608183374912511
16,0.05,678.0,Grid1296,750.0,5.217747398153133,0.005801061619749694,0.9952985595578608,39.71164179657055,0.044006836948725675,0.8482180876486591
17,0.05,678.0,Grid2401,750.0,11.837622915793633,0.0060874499900888,0.9533549772575405,83.49980265024692,0.08922360556236365,0.36576587829193086
18,0.05,678.0,Sobol1,750.0,10.8211330922953,0.011309525309633401,0.9920415881806294,21.220591865801094,0.01717613883760402,0.9479035430150949
19,0.05,678.0,Sobol2,750.0,15.201705519895608,0.015114949197976171,0.9835002796510072,18.11845405832502,0.015153851608103584,0.9609033777925869
20,0.05,678.0,Grid1296,1000.0,5.206262386586617,0.005789792493731206,0.9953192338707999,39.72077663334983,0.04401486182819345,0.8481482510767763
21,0.05,678.0,Grid2401,1000.0,11.908015687896429,0.006116308859050695,0.9527985758394975,83.50012123376352,0.08921671582961942,0.36576103859373055
