,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.15,986.0,Grid1296,0.001,167.0,200.0,75.12943267822266,0.3172183036804199,0.11750077883979039,-0.4298547104422621,0.12315702864899092,-0.4064940165597166,0.1496039701304282,-0.9624168342789172
1,0.15,986.0,Grid2401,0.001,6.0,200.0,15.0882568359375,9.247352361679077,0.02881085004066442,0.6408212845004577,0.03038436854537274,0.6882838567670095,0.06634716433424831,-2.0570370703027594
2,0.15,986.0,Sobol1,0.001,5.0,200.0,66.49781799316406,12.610747814178467,0.09024215092822163,-0.5156510405144192,0.09009647287610327,-0.5176602205047436,0.08141021779961988,-0.23461638564613008
3,0.15,986.0,Sobol2,0.001,5.0,200.0,73.46240234375,10.723921537399292,0.10189025366303098,-0.5357419110791011,0.0971759119089287,-0.4739474606005665,0.08709327807410595,-0.20239160090957098
