,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.85,390.0,Grid1296,0.001,6.0,200.0,20.195791244506836,32.75195789337158,0.04987811543629229,-0.2435658032573027,0.05128758759723085,-0.2570198224942277,0.0734145452565752,-1.576125166493282
1,0.85,390.0,Grid2401,0.001,7.0,200.0,5.524570941925049,44.90104269981384,0.012818691724215975,0.8560636713540398,0.013422171761655778,0.8505768002313328,0.050878951857131496,-0.8460399762052131
2,0.85,390.0,Sobol1,0.001,6.0,200.0,12.67444896697998,58.37930965423584,0.014718276147571874,0.9828068244746752,0.013922962677331079,0.9892407190632001,0.02024674670796553,0.9539144326200613
3,0.85,390.0,Sobol2,0.001,19.0,200.0,28.5720272064209,16.0163357257843,0.07648965640765573,-0.1665675756723155,0.08171426810215274,-0.35946894675548524,0.06113792547951023,0.28570697028172853
