,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.7,936.0,Grid1296,0.001,11.0,200.0,19.493309020996094,14.630371332168579,0.0470869260263423,0.08935424700406625,0.04935169506245805,-0.03613349222406548,0.07090791145229117,-1.0509331345152235
1,0.7,936.0,Grid2401,0.001,617.0,200.0,32.45572280883789,0.8112268447875977,0.04512037507136873,0.39951861524416354,0.04156500343138783,0.42909971963711535,0.07767114237144013,-2.7197297748125053
2,0.7,936.0,Sobol1,0.001,23.0,200.0,66.75968933105469,12.887395858764648,0.07645421519219042,-0.39021976310989204,0.07982924405485846,-0.5927080050419082,0.06433254322614722,0.025835083615469157
3,0.7,936.0,Sobol2,0.001,29.0,200.0,79.45466613769531,11.153504848480225,0.09197557060582251,-0.9423811265474997,0.09407011269892757,-1.1216219620323002,0.07710707803753579,-0.30338932402088026
