,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.25,16.0,Grid1296,0.001,9.0,200.0,18.50777816772461,6.489773273468018,0.05750777993775278,-0.6770384435482828,0.05007065379749843,-0.5319667796008472,0.07450859188574029,-2.202314994521712
1,0.25,16.0,Grid2401,0.001,5.0,200.0,8.3331298828125,18.352068662643433,0.018674782938992954,0.8388029246574107,0.01896134891462185,0.80184099314903,0.05866634056567063,-1.3965554695103846
2,0.25,16.0,Sobol1,0.001,167.0,200.0,64.21743774414062,0.9363646507263184,0.08890094051101258,-3.2133772271037664,0.08899860645983405,-2.9366421899859616,0.07307522427752294,-1.623152531822675
3,0.25,16.0,Sobol2,0.001,5.0,200.0,79.18412017822266,17.51742386817932,0.08826353031695125,-1.1564274279411038,0.0942634623881139,-1.2935539138040695,0.0774156723255751,-0.5014730366244666
