,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.05,936.0,Grid1296,0.001,5.0,200.0,12.953857421875,1.8958473205566406,0.038522839248009755,-1.9670482652639385,0.055528751724544495,-2.1130646430263966,0.07922487877130757,-4.907206122129077
1,0.05,936.0,Grid2401,0.001,8.0,200.0,34.602386474609375,1.9139056205749512,0.04204617329597594,0.18890540433784475,0.04373567466649789,0.19636009192655546,0.07528039588767807,-3.5197172240073593
2,0.05,936.0,Sobol1,0.001,5.0,200.0,90.99946594238281,3.68593430519104,0.09013747350916686,-0.7997869216089388,0.08766537570734048,-0.8772742012754275,0.0760757631323617,-0.3570207594061132
3,0.05,936.0,Sobol2,0.001,5.0,200.0,45.94111251831055,3.6110012531280518,0.11777064144779553,-1.170558831301232,0.09483868332500267,-0.6934223408244304,0.08167398554303427,-0.1860259955460679
