,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.25,678.0,Grid1296,0.001,9.0,200.0,34.79897689819336,6.760028839111328,0.05003045297758429,0.1718473596201484,0.054091767670846114,-0.05018201587309923,0.07112349011949602,-0.9884400395028548
1,0.25,678.0,Grid2401,0.001,5.0,200.0,24.783666610717773,18.59934139251709,0.04297012083988091,0.2558892993898074,0.042300349445477746,0.3008218809355264,0.0762178333514337,-3.538993129079758
2,0.25,678.0,Sobol1,0.001,167.0,200.0,59.43730163574219,0.9290435314178467,0.08856493603042023,-2.8783419108359043,0.08990019736970588,-3.192441520881025,0.07352789386161376,-1.6901790082139967
3,0.25,678.0,Sobol2,0.001,5.0,200.0,44.8199348449707,17.643193244934082,0.09605026305922847,-0.6292518762251902,0.09169758699391577,-0.5584093962730889,0.07849497926452131,-0.06632431064621946
