,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.65,297.0,Grid1296,0.001,5.0,200.0,50.525115966796875,29.476848363876343,0.02748127296622848,0.6786727423395784,0.028327267493555713,0.6455788994240762,0.05610970829673097,0.12660479300679317
1,0.65,297.0,Grid2401,0.001,5.0,200.0,7.350060939788818,46.25546717643738,0.01735669862405318,0.8326794090490204,0.017862832637762054,0.7979880354911268,0.05742248135443173,-1.206430893564686
2,0.65,297.0,Sobol1,0.001,1303.0,200.0,92.85558319091797,0.5584986209869385,0.14060673361008225,-1.5012001242617212,0.1444742545435647,-1.6111473844810642,0.13211483137069863,-0.9067658404091092
3,0.65,297.0,Sobol2,0.001,5.0,200.0,12.196856498718262,45.12864017486572,0.01807272179435058,0.9772632525272131,0.015969792304060072,0.9711528903537974,0.01710653550250367,0.9580302738848001
