,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.4,390.0,Grid1296,0.001,223.0,200.0,41.45197296142578,0.6447286605834961,0.06594255936188936,-0.5340358322932537,0.06394180504939725,-0.6805960507062694,0.08899082319638464,-2.0557544454715564
1,0.4,390.0,Grid2401,0.001,5.0,200.0,33.432334899902344,29.328941583633423,0.04444225092866707,0.30874952028924874,0.044234495465870736,0.28985960247619735,0.07548333574924579,-2.8780724038708527
2,0.4,390.0,Sobol1,0.001,401.0,200.0,66.99651336669922,0.7262566089630127,0.10133158400139675,-3.419773442906922,0.10333974796992189,-3.6385117769320727,0.08563327904782626,-1.9797413117456495
3,0.4,390.0,Sobol2,0.001,5.0,200.0,16.167285919189453,28.34455156326294,0.029568954751049713,0.9278810004779628,0.032017006830974075,0.9061480087489047,0.029318454859172692,0.9006672205754593
