,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.45,877.0,Grid1296,0.001,251.0,200.0,41.20262908935547,0.6523880958557129,0.058113731773543245,-0.9501655520131127,0.05611121373340712,-0.43854053144348293,0.08253823680366,-2.298831786215646
1,0.45,877.0,Grid2401,0.001,13.0,200.0,16.577247619628906,12.668850183486938,0.018302990560458185,0.8100845879918539,0.020241909045032157,0.8043516740719479,0.05887326830545871,-1.289707521814158
2,0.45,877.0,Sobol1,0.001,11.0,200.0,22.591154098510742,16.637877225875854,0.03574988654167981,0.9125989598738828,0.03751008489774974,0.9055723057348738,0.03805894096208797,0.8742792449260293
3,0.45,877.0,Sobol2,0.001,191.0,200.0,63.734039306640625,1.2480714321136475,0.09707218296298604,-2.2626303472832547,0.08952474874826812,-1.947997797890693,0.07451668440354137,-0.8615044372601888
