,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.05,816.0,Grid1296,0.001,5.0,200.0,25.119775772094727,1.877328634262085,0.043465873823923515,0.052806738091267125,0.05622990952074277,-0.25062273600572604,0.08054000728183643,-1.4926001040524466
1,0.05,816.0,Grid2401,0.001,8.0,200.0,34.21160888671875,1.9067809581756592,0.042448033847402755,0.3183311157254496,0.04352377752453484,0.3503053993177213,0.07781192365558591,-3.3295218525520447
2,0.05,816.0,Sobol1,0.001,5.0,200.0,29.887121200561523,4.094082593917847,0.0865266636432808,-0.7103804821381827,0.08717174791959564,-1.0880981295068946,0.07634649754826058,-0.5599002915886682
3,0.05,816.0,Sobol2,0.001,5.0,200.0,29.982921600341797,3.603966474533081,0.08745594963546469,-1.815195704036729,0.09313193928292512,-1.7411691003310898,0.07636259797916577,-0.7540460920861052
