,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.15,930.0,Grid1296,0.001,167.0,200.0,71.38250732421875,0.31966638565063477,0.10850114790868476,-0.4175396729263916,0.1176124179414449,-0.3672551322912432,0.1422481762618638,-0.9333048362201082
1,0.15,930.0,Grid2401,0.001,6.0,200.0,20.50614356994629,9.297641038894653,0.02816825403352723,0.6637471058142147,0.030180897104157573,0.6231036092892015,0.06779233668558156,-2.883863475879381
2,0.15,930.0,Sobol1,0.001,5.0,200.0,49.85857009887695,12.573078870773315,0.08505885387869257,-0.7106412954574515,0.08556456616445003,-0.8344248785051467,0.07461986107313609,-0.34780378875796325
3,0.15,930.0,Sobol2,0.001,5.0,200.0,92.78437805175781,10.596877098083496,0.08207843617476022,0.2522997018166594,0.07961960872594562,0.23034543504549743,0.07016748856749534,0.33824310867014895
