,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.3,530.0,Grid1296,0.001,167.0,200.0,38.9697380065918,0.6445748805999756,0.059683107359673804,-0.38050143206405473,0.06111960347169432,-0.6770319162087668,0.08447000754228122,-2.074601794438331
1,0.3,530.0,Grid2401,0.001,6.0,200.0,7.219635009765625,18.757246732711792,0.01887501929610806,0.8175653140120868,0.019416384050450354,0.8286556254540866,0.058733073819164795,-1.0623183540438195
2,0.3,530.0,Sobol1,0.001,601.0,200.0,97.56449890136719,0.4143030643463135,0.14528636747262952,-1.413458577824739,0.1388929720607209,-1.1626086759633627,0.13063006927464352,-0.6649899333320894
3,0.3,530.0,Sobol2,0.001,5.0,200.0,65.1982192993164,21.57940912246704,0.09439588807843204,-0.6284274227694713,0.09052693425591898,-0.3656295822704634,0.07710429426972872,0.04006151682393788
