,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.75,731.0,Grid1296,0.001,9.0,200.0,24.69500732421875,18.98253059387207,0.03726854372101972,0.47331866160141256,0.03579672360059185,0.4511809324624694,0.06460743571789888,-0.23914179790764245
1,0.75,731.0,Grid2401,0.001,661.0,200.0,33.38600540161133,0.8417387008666992,0.04582269604583224,0.2917856706317512,0.04191044980057036,0.23475309238189013,0.08038130898483206,-3.409904548299804
2,0.75,731.0,Sobol1,0.001,9.0,200.0,4.38393497467041,34.18620562553406,0.012006824468667025,0.988054996179306,0.014959222724073216,0.9804129700154189,0.0150975209149669,0.9654436019106992
3,0.75,731.0,Sobol2,0.001,5.0,200.0,4.943115234375,52.267945289611816,0.016422068319443418,0.9743313333546832,0.016525212432563646,0.9752839523120366,0.017630166912017284,0.9539070744515934
