,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.9,877.0,Grid1296,0.001,251.0,200.0,36.908260345458984,1.304570198059082,0.05263083379392453,-0.3490604658328438,0.04856562979440354,-0.21059501260670221,0.076078424923941,-1.801888451769866
1,0.9,877.0,Grid2401,0.001,13.0,200.0,18.429988861083984,24.804434299468994,0.018192236190674796,0.82011399961281,0.019791295581173506,0.7981279001903703,0.0584622874433197,-1.2096269887658515
2,0.9,877.0,Sobol1,0.001,11.0,200.0,5.242634296417236,33.33071446418762,0.014533960097164622,0.9845273885435472,0.015045124856897818,0.9837083021640293,0.01891420633850198,0.954593674470836
3,0.9,877.0,Sobol2,0.001,5.0,200.0,22.263086318969727,61.92880296707153,0.018305059605294435,0.9713293781080178,0.01922182360462466,0.9630403339903805,0.01935481804855863,0.9510402278334562
