,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.5,986.0,Grid1296,0.001,6.0,200.0,16.98838233947754,18.82646155357361,0.04012899402726067,0.33728483447802426,0.038719532290142626,0.42891312711921825,0.06488519052547344,-0.45485747818640854
1,0.5,986.0,Grid2401,0.001,881.0,200.0,60.469078063964844,0.4631826877593994,0.08434293568476524,0.29814052616936537,0.08548937454106037,0.2680820149127948,0.11337289051974703,-1.2712678383263896
2,0.5,986.0,Sobol1,0.001,6.0,200.0,12.140202522277832,33.886232137680054,0.01754657873180657,0.9779538973121248,0.018616127281195483,0.9748301173915934,0.022230179261868835,0.94650747317337
3,0.5,986.0,Sobol2,0.001,5.0,200.0,27.1600284576416,34.357303857803345,0.038192535256351114,0.8435857556232538,0.038409782400638734,0.8546006474993659,0.030545929693410922,0.8753277431609601
