,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.25,48.0,Grid1296,0.001,9.0,200.0,24.53196907043457,6.54235315322876,0.05678105042587885,-0.5270828961253169,0.06275383244555678,-0.5532165958550959,0.08803848581765832,-1.771770497514276
1,0.25,48.0,Grid2401,0.001,5.0,200.0,27.972558975219727,18.487237215042114,0.01919567009114416,0.8441753304557376,0.02014707731291199,0.8137200695543836,0.05915152913900946,-1.0597414972037726
2,0.25,48.0,Sobol1,0.001,167.0,200.0,59.015506744384766,0.9498472213745117,0.08784247805346986,-4.582860804604559,0.08913509975635282,-4.337848944811,0.07275394459095769,-2.5440747753371222
3,0.25,48.0,Sobol2,0.001,5.0,200.0,65.17393493652344,17.77957534790039,0.06716482732712835,0.19585644220279452,0.07579883936023664,0.10889787739591206,0.0593396582162548,0.43258276622963765
