,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.8,561.0,Grid1296,0.001,223.0,200.0,32.95976257324219,1.2819926738739014,0.052507294283308685,-0.5025793759622819,0.04914149962950798,-0.2303014231595828,0.07553683452661197,-1.9864230518086488
1,0.8,561.0,Grid2401,0.001,5.0,200.0,8.407506942749023,57.3404278755188,0.014892994271838515,0.8848622177513928,0.01597560746739316,0.7532197605875394,0.05096266283657726,-0.6201437904838174
2,0.8,561.0,Sobol1,0.001,401.0,200.0,62.17717742919922,1.4610497951507568,0.08496260538348635,-1.8324480685130609,0.09344166028941242,-1.8767851548183918,0.07333203906626455,-0.9724509861020878
3,0.8,561.0,Sobol2,0.001,5.0,200.0,9.087310791015625,56.16373419761658,0.01682194141788317,0.9756623924896399,0.014523047255318496,0.9828729947567804,0.015474693412807463,0.963091432855117
