,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.25,791.0,Grid1296,0.001,9.0,200.0,29.63320541381836,6.508667945861816,0.05088158989768337,-0.1818637881949512,0.05293990877382819,-0.43682952174893264,0.07295864663120295,-1.7752181358531858
1,0.25,791.0,Grid2401,0.001,5.0,200.0,11.873974800109863,18.441982984542847,0.022808177951276414,0.6898019424382027,0.021252477332066692,0.8052333660955868,0.061469043245579544,-1.5999859572881094
2,0.25,791.0,Sobol1,0.001,167.0,200.0,64.93423461914062,0.9621965885162354,0.09000529930568284,-4.053738074009043,0.08944313620859762,-3.694092358794589,0.0736832243629436,-2.1560243642395687
3,0.25,791.0,Sobol2,0.001,5.0,200.0,50.44470977783203,17.78985285758972,0.0881867796366465,-0.46842865719030624,0.09312520826569733,-0.8851735027462706,0.07542869135615675,-0.08001856954367614
