,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.7,731.0,Grid1296,0.001,11.0,200.0,26.331016540527344,14.570992469787598,0.05074951325144543,-0.14944991749429715,0.04971943507788527,-0.1480708974618974,0.07197153749115875,-1.369436609685299
1,0.7,731.0,Grid2401,0.001,617.0,200.0,32.842926025390625,0.821136474609375,0.04600631377102837,0.3595407080167611,0.04145293921808225,0.35685836125189463,0.0794100371015341,-2.988819768888109
2,0.7,731.0,Sobol1,0.001,23.0,200.0,53.070823669433594,12.693713188171387,0.07406449340500872,-0.4060278711112497,0.07976781981719792,-0.469665666148976,0.06288076077006291,0.047122659150272916
3,0.7,731.0,Sobol2,0.001,29.0,200.0,41.39209747314453,11.475266695022583,0.09400792050624056,-0.6024900412347147,0.09361904944037068,-0.42254290478649703,0.0801078161980294,-0.07852566896870883
