,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.65,721.0,Grid1296,0.001,5.0,200.0,38.56443405151367,30.03615164756775,0.01991981318404974,0.803904909711326,0.021540025520405487,0.7737173930658404,0.04762491699325304,0.4099240471346661
1,0.65,721.0,Grid2401,0.001,5.0,200.0,41.21479415893555,47.440627336502075,0.03797249176810428,0.5053924244205408,0.04054710781289875,0.348750678363698,0.07305264543673524,-2.8834892965771077
2,0.65,721.0,Sobol1,0.001,1303.0,200.0,91.81067657470703,0.5587224960327148,0.13517079546949162,-1.7230916788391037,0.13916793621330167,-1.6819994627178745,0.12536771736810126,-0.9839811115046573
3,0.65,721.0,Sobol2,0.001,5.0,200.0,12.849615097045898,45.97459626197815,0.025066311129191807,0.9662500972202401,0.02431662326511578,0.9683426307315832,0.023751845885503033,0.9482133910138758
