,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.15,731.0,Grid1296,0.001,167.0,200.0,64.615478515625,0.32309699058532715,0.09605342536333665,0.0988636755949095,0.10170853719636337,-0.30712202905236463,0.12589854491503924,-0.852937043492054
1,0.15,731.0,Grid2401,0.001,6.0,200.0,10.066802978515625,9.267279624938965,0.023563245036506916,0.816181761936701,0.026043729800322168,0.7275861662437633,0.06536521709810528,-1.7935548698487267
2,0.15,731.0,Sobol1,0.001,5.0,200.0,52.3189582824707,12.620412349700928,0.07700668552673492,-0.5907994014725393,0.08970795371598499,-1.3794949526288516,0.07572636799192885,-0.6380032523551247
3,0.15,731.0,Sobol2,0.001,5.0,200.0,38.85845947265625,10.691083669662476,0.09551890000020839,-0.7086615428223784,0.09326190152775161,-0.530062757034441,0.0806306739765382,-0.13364984385413847
