,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
0,0.15,678.0,Grid1296,RBF,1.0,-,-,-,19.754629992130678,0.017170515384336154,0.9176801562782753,383.2041986286998,0.49109632810649617,-13.302238903422506
1,0.15,678.0,Grid1296,Matern,1.0,1.5,-,-,7.670407129963521,0.007670449888298446,0.9875890916071813,65.2181013949928,0.059179142287391344,0.5857335012988036
2,0.15,678.0,Grid1296,RQ,1.0,-,1.0,-,16.53354998396335,0.012646250362326625,0.942336770322621,49.77876805736991,0.05806330120986811,0.7586586158587757
3,0.15,678.0,Grid1296,ESS,1.0,-,-,1.0,675.4682479263305,1.0,-95.24465396647028,676.1860414009712,0.9927235968970598,-43.532380702956644
4,0.15,678.0,Grid2401,RBF,1.0,-,-,-,82.2936956744695,0.06877914861680791,-0.48693421459154007,493.68130096270016,0.6696363752878998,-21.439841681220724
5,0.15,678.0,Grid2401,Matern,1.0,1.5,-,-,17.886718784854008,0.013977287813079975,0.9297542618536926,39.81655754489398,0.047730386604879736,0.8540332793593347
6,0.15,678.0,Grid2401,RQ,1.0,-,1.0,-,15.821629600111349,0.013642059992984894,0.9450381872226209,87.82782226086859,0.09231302531487062,0.28978365755321456
7,0.15,678.0,Grid2401,ESS,1.0,-,-,1.0,704.3539941183868,1.0,-107.92826484144506,672.2527866249026,0.9999063669582771,-40.60941932258303
8,0.15,678.0,Sobol1,RBF,1.0,-,-,-,13.6641259629939,0.014468129066220237,0.9868806197139477,23.94724089817926,0.019634808780007274,0.9355127714809872
9,0.15,678.0,Sobol1,Matern,1.0,1.5,-,-,11.439120872776622,0.011673172973548997,0.9908053562877381,19.94943841178902,0.01587156668508564,0.955246799855674
10,0.15,678.0,Sobol1,RQ,1.0,-,1.0,-,17.1906656945295,0.016891390389434303,0.9792348536380165,20.89715469619567,0.017613280344720133,0.950893717047347
11,0.15,678.0,Sobol1,ESS,1.0,-,-,1.0,651.9650361687278,0.9743574778270541,-28.867455054276416,730.8310851312339,0.9859066315599369,-59.06158227961901
12,0.15,678.0,Sobol2,RBF,1.0,-,-,-,25.771960939010146,0.023902110486162625,0.9502162647227532,30.028135797144706,0.023851574128556076,0.8947536281696319
13,0.15,678.0,Sobol2,Matern,1.0,1.5,-,-,13.53148798316639,0.012754722846725205,0.9862759066903386,20.53360008932522,0.016585942424792825,0.9507869150579255
14,0.15,678.0,Sobol2,RQ,1.0,-,1.0,-,20.126055602855462,0.01981635302622938,0.9696394324293203,21.040491809727587,0.01784489789349077,0.9483271798357643
15,0.15,678.0,Sobol2,ESS,1.0,-,-,1.0,660.5322827854825,0.9877781351589254,-31.702476784198254,675.2610301479909,0.9820615192267363,-52.22231545631889
16,0.15,147.0,Grid1296,RBF,1.0,-,-,-,17.185929465931153,0.018776385165263153,0.9442982367967456,397.7725664400221,0.5110969859660972,-14.384894228803955
17,0.15,147.0,Grid1296,Matern,1.0,1.5,-,-,5.613791352177528,0.0063702344797702355,0.9940565936085144,65.14821735355194,0.05908055197297324,0.5873043100719955
18,0.15,147.0,Grid1296,RQ,1.0,-,1.0,-,13.80330208450474,0.01129228403548784,0.9640673805620749,49.57716001602754,0.05793400894341368,0.7610053661081769
19,0.15,147.0,Grid1296,ESS,1.0,-,-,1.0,17.185922070973195,0.018776378807832443,0.9442982847327167,397.7724326751842,0.5110968033302787,-14.384883881395858
20,0.15,147.0,Grid2401,RBF,1.0,-,-,-,705.1136570437635,1.0,-109.74183215782284,672.362913969698,1.0,-40.623958320473534
21,0.15,147.0,Grid2401,Matern,1.0,1.5,-,-,33.09744912885472,0.016095577208768534,0.7560041171481954,35.587840301623565,0.04147470348427376,0.8833891012357812
22,0.15,147.0,Grid2401,RQ,1.0,-,1.0,-,16.37613760320598,0.013101516709228447,0.9402667136051094,87.34636684539777,0.09173633814286747,0.2975335821238799
23,0.15,147.0,Grid2401,ESS,1.0,-,-,1.0,97.96221183559477,0.0696234891127294,-1.1375221119833538,495.2346724108798,0.6717153299630371,-21.581769102634613
24,0.15,147.0,Sobol1,RBF,1.0,-,-,-,21.467858362943996,0.015276766409486985,0.9645793414044163,27.160219268404767,0.021056456624004998,0.9161247063996826
25,0.15,147.0,Sobol1,Matern,1.0,1.5,-,-,13.817913899709302,0.011170853053220282,0.985325471573582,20.635448664419012,0.016177943840135264,0.9515832825616339
26,0.15,147.0,Sobol1,RQ,1.0,-,1.0,-,19.49999618909477,0.016756047460413016,0.970775422427232,21.64486414797188,0.01812202866585768,0.946730669488952
27,0.15,147.0,Sobol1,ESS,1.0,-,-,1.0,24.365506317059374,0.017242815544327612,0.9543721431497044,30.032813677767297,0.023157529961624655,0.8974443589980476
28,0.15,147.0,Sobol2,RBF,1.0,-,-,-,21.00595510737757,0.01898170326651861,0.9611873595333662,26.57302337622022,0.021591176474853615,0.9167647233191066
29,0.15,147.0,Sobol2,Matern,1.0,1.5,-,-,14.72249740040616,0.011603859794116975,0.9809343640594805,19.84093022572045,0.01610483012269844,0.953596627210518
30,0.15,147.0,Sobol2,RQ,1.0,-,1.0,-,17.501904113350065,0.016314010910513002,0.9730561951929287,19.94786610597413,0.017033400258061583,0.9530950824031622
31,0.15,147.0,Sobol2,ESS,1.0,-,-,1.0,21.005948545231085,0.018981695819454882,0.9611873837830793,26.57301568233993,0.02159117020386471,0.916764771518527
32,0.15,561.0,Grid1296,RBF,1.0,-,-,-,16.381991154754488,0.01671384330037124,0.9450787955489518,380.48222053379817,0.4867430551824405,-13.08641930125161
33,0.15,561.0,Grid1296,Matern,1.0,1.5,-,-,7.079981727302595,0.007205119682339725,0.9897418049523832,64.6195084032435,0.0584342742137175,0.5936884423936724
