,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
24,0.05,147.0,Sobol1,RBF,1.0,-,-,-,14.725188235955947,0.0160650253912045,0.9811571327454004,24.62118882281796,0.0203774230412994,0.9292550648115532
25,0.05,147.0,Sobol1,Matern,1.0,1.5,-,-,13.161869806900064,0.0122244629133302,0.984945703708517,20.299971159419187,0.0158826448513959,0.9519085183743714
26,0.05,147.0,Sobol1,RQ,1.0,-,1.0,-,20.62723742615929,0.0183490562431725,0.9630250655140186,21.005006648200943,0.0174580263033557,0.9485099916695988
27,0.05,147.0,Sobol1,ESS,1.0,-,-,1.0,14.725181469780358,0.0160650183267883,0.9811571500618674,24.62118006896304,0.0203774150132375,0.9292551151170678
28,0.05,147.0,Sobol2,RBF,1.0,-,-,-,18.704625875619826,0.020050740344262,0.9702770380260526,28.00356326164509,0.0223562755516335,0.9063505433985858
29,0.05,147.0,Sobol2,Matern,1.0,1.5,-,-,13.299522447688815,0.0127479458182014,0.9849732131011129,20.274642412205974,0.0161362814497251,0.9509108992497054
30,0.05,147.0,Sobol2,RQ,1.0,-,1.0,-,17.69254200624878,0.016298437120887,0.9734065608903684,19.965173113677665,0.0165893466695274,0.9523980405047068
31,0.05,147.0,Sobol2,ESS,1.0,-,-,1.0,18.704618130209933,0.0200507326015588,0.9702770626420464,28.003554647220994,0.0223562680315779,0.9063506010152544
32,0.05,561.0,Grid1296,RBF,1.0,-,-,-,18.50695818059608,0.018353475611809,0.9368924594302294,435.0402623024224,0.5676162827411737,-17.219259147087804
33,0.05,561.0,Grid1296,Matern,1.0,1.5,-,-,5.737224224308995,0.0060772986135059,0.9939352233035296,67.4588562846654,0.061121279001059,0.5619237018719976
34,0.05,561.0,Grid1296,RQ,1.0,-,1.0,-,8.637863547704038,0.0070078698204037,0.9862524962639688,49.26210337044209,0.0578670232449155,0.7663866208432681
35,0.05,561.0,Grid1296,ESS,1.0,-,-,1.0,688.141323016262,1.0,-86.25020260884048,663.837135117776,0.9636446064223,-41.42236687337327
36,0.05,561.0,Grid2401,RBF,1.0,-,-,-,71.98028650615025,0.0590287680670849,-0.4543061343764389,501.4895689073035,0.6889645265515674,-21.8565323643698
