,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
0,0.5,678.0,Grid1296,RBF,1.0,-,-,-,22.09078098142525,0.020742295857305262,0.9120505554567493,217.97634946345843,0.25521820578265414,-3.7580318742298315
1,0.5,678.0,Grid1296,Matern,1.0,1.5,-,-,9.903119249303078,0.009999313507566745,0.9823251808580451,58.22165914362894,0.05433487590986945,0.6605484846076535
2,0.5,678.0,Grid1296,RQ,1.0,-,1.0,-,19.631884453049675,0.01656047862293561,0.9305399742855355,52.11594801954122,0.059790409253134065,0.7280119135839371
3,0.5,678.0,Grid1296,ESS,1.0,-,-,1.0,679.9853865045313,1.0,-82.33167666135257,677.556449811415,0.9956484609144822,-44.97265276569276
4,0.5,678.0,Grid2401,RBF,1.0,-,-,-,79.95283209620271,0.05965296535588062,-0.37731017768660724,322.1257467721772,0.4150282712875089,-9.048197325931039
5,0.5,678.0,Grid2401,Matern,1.0,1.5,-,-,31.95343537827716,0.019383577755953788,0.780011911272298,35.75006786049934,0.03950792929788478,0.8762369454700654
6,0.5,678.0,Grid2401,RQ,1.0,-,1.0,-,24.84509922352355,0.017710353175068545,0.8670018733218159,85.2426093820497,0.08675176449035903,0.29635962811423155
7,0.5,678.0,Grid2401,ESS,1.0,-,-,1.0,704.7089835856176,1.0,-105.99997311709129,673.0297508028755,0.9930483298522216,-42.86375458640494
8,0.5,678.0,Sobol1,RBF,1.0,-,-,-,17.230513578389456,0.017390919377438054,0.9755429574268593,27.975357850161853,0.022933411061682257,0.9150863632805282
9,0.5,678.0,Sobol1,Matern,1.0,1.5,-,-,14.474822604862663,0.014233802358617553,0.9827402701138664,21.675177575599513,0.01822712927063031,0.9490256767561526
10,0.5,678.0,Sobol1,RQ,1.0,-,1.0,-,21.399869466610138,0.021672391563414602,0.9622749570086043,23.425595854923007,0.021485843379937402,0.9404601915391771
11,0.5,678.0,Sobol1,ESS,1.0,-,-,1.0,660.8958408103372,0.9884898175415808,-34.98102510580383,674.8736499169338,0.9877598894839227,-48.416397715810604
12,0.5,678.0,Sobol2,RBF,1.0,-,-,-,30.690263651319533,0.030532418823290386,0.9320323023830057,35.14175904467451,0.029034346836020224,0.8654348535030907
13,0.5,678.0,Sobol2,Matern,1.0,1.5,-,-,20.346513219449154,0.020467227127128996,0.9701268300407809,22.698640936924104,0.01940448828817272,0.9438583328317033
14,0.5,678.0,Sobol2,RQ,1.0,-,1.0,-,29.282480303785828,0.03188606240042985,0.9381247396122069,25.281117916205506,0.02358489493896975,0.9303568920782779
15,0.5,678.0,Sobol2,ESS,1.0,-,-,1.0,650.4146766183253,0.9649697321861318,-29.526849459882943,692.7135307106678,0.9736808334772246,-51.28690515311704
16,0.5,147.0,Grid1296,RBF,1.0,-,-,-,20.83090792063806,0.020547409966475506,0.9264559779629036,216.83408336024544,0.25343379149283607,-3.6935428733174716
17,0.5,147.0,Grid1296,Matern,1.0,1.5,-,-,11.245406032000208,0.0106919187746154,0.9785670840609683,56.99229295527592,0.054231811239915634,0.6757515170464727
18,0.5,147.0,Grid1296,RQ,1.0,-,1.0,-,23.651830399642655,0.019302809998648935,0.9051886149243317,52.70846581221885,0.06014427838093758,0.7226638749806868
19,0.5,147.0,Grid1296,ESS,1.0,-,-,1.0,20.83089733601068,0.020547400284492427,0.9264560527014484,216.8337876411139,0.253433372342711,-3.693530071183651
20,0.5,147.0,Grid2401,RBF,1.0,-,-,-,74.7628992957493,0.04987636417544539,-0.19278680856264607,289.6320360067344,0.3713691794351836,-7.134205420754622
21,0.5,147.0,Grid2401,Matern,1.0,1.5,-,-,35.64179221503916,0.01879466092221584,0.728912416867955,39.51801332404277,0.042930198653404236,0.8485699212891752
22,0.5,147.0,Grid2401,RQ,1.0,-,1.0,-,24.602522833212802,0.016901726423895782,0.870833513989494,83.92472375762338,0.0851885688791259,0.31702975638153286
23,0.5,147.0,Grid2401,ESS,1.0,-,-,1.0,74.76288720880984,0.04987635103759371,-0.19278642288630343,289.63190543547313,0.37136901520077026,-7.13419808666799
24,0.5,147.0,Sobol1,RBF,1.0,-,-,-,17.38234288609813,0.016160434043785865,0.9751427424303977,27.25522463330253,0.02242481375701223,0.9193349583613998
25,0.5,147.0,Sobol1,Matern,1.0,1.5,-,-,14.15974923785559,0.013096855702758481,0.9835051750188966,21.748683175307768,0.01789647254316254,0.9486368365263793
26,0.5,147.0,Sobol1,RQ,1.0,-,1.0,-,21.090532084423913,0.020642912970274457,0.963405850307305,23.985867590321398,0.021658835432289875,0.9375263766958589
27,0.5,147.0,Sobol1,ESS,1.0,-,-,1.0,17.38233232921197,0.01616042526473748,0.9751427726236991,27.255209691068597,0.022424801867994358,0.9193350468079716
28,0.5,147.0,Sobol2,RBF,1.0,-,-,-,26.67906620557671,0.027263264770254057,0.9466105524123022,31.091644931914317,0.02628175460251082,0.8939670181326076
29,0.5,147.0,Sobol2,Matern,1.0,1.5,-,-,19.670464955726942,0.019651271894384106,0.9709769246793355,21.329734126763377,0.018533115059644355,0.9500972521718595
