,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
21,0.05,147.0,Grid2401,RQ,0.01309240515105104,0.9571038846154698,0.09490738232471625,0.29303010140195596
22,0.05,147.0,Sobol1,RQ,0.018349056243172592,0.9630250655140186,0.01743837266196643,0.9480600399634453
23,0.05,147.0,Sobol2,RQ,0.016298437120887032,0.9734065608903685,0.016594409591647544,0.951766324547849
24,0.05,561.0,Grid1296,RBF,0.01835347561180903,0.9368924594302294,0.5732415053452783,-17.31875803037577
25,0.05,561.0,Grid2401,RBF,0.05902876806708494,-0.45430613437643896,0.7005937077391051,-22.00704869185692
26,0.05,561.0,Sobol1,RBF,0.012757267964550399,0.9887129124144506,0.019772981705511058,0.9326626211184774
27,0.05,561.0,Sobol2,RBF,0.021484582563524385,0.9611690058299329,0.02293995803385022,0.8953278491177994
28,0.05,561.0,Grid1296,Matern,0.0060772986135059414,0.9939352233035296,0.06168500667145094,0.5595555003235504
29,0.05,561.0,Grid2401,Matern,0.021906461726417747,0.43362189412245866,0.0395313470687171,0.9042371618833981
30,0.05,561.0,Sobol1,Matern,0.008664576204395336,0.9936581467017479,0.0159548377052583,0.9514053914880178
31,0.05,561.0,Sobol2,Matern,0.014362997568479812,0.9856417064779677,0.016283053899379597,0.9491229357938599
32,0.05,561.0,Grid1296,RQ,0.0070078698204037665,0.9862524962639689,0.058387892409468005,0.7651797174489688
33,0.05,561.0,Grid2401,RQ,0.018604586760454123,0.612790806437435,0.09408721668303711,0.30214257139806255
34,0.05,561.0,Sobol1,RQ,0.013696255818726629,0.9845320426383903,0.017350705048028596,0.9482227496956375
35,0.05,561.0,Sobol2,RQ,0.020230452690898532,0.9666225475114477,0.01659709982018093,0.9513940090880116
36,0.05,237.0,Grid1296,RBF,0.9999999999999959,-63.02657426323961,0.9999732906568883,-43.212483370365874
37,0.05,237.0,Grid2401,RBF,0.9999999999999961,-104.1020775321616,0.999849908534613,-39.38642955355652
38,0.05,237.0,Sobol1,RBF,0.9999999999999736,-30.535889556814983,0.9997752177776008,-53.95707437863134
39,0.05,237.0,Sobol2,RBF,0.025968950286119393,0.9379153179667176,0.022428559197360337,0.9007053653464744
40,0.05,237.0,Grid1296,Matern,0.011423928090938217,0.9811059221082321,0.061071405604866194,0.5714421104464558
41,0.05,237.0,Grid2401,Matern,0.012620663571909638,0.9593195743528905,0.0514583112532995,0.8423837909329064
