,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
32,0.45,561.0,Grid1296,RBF,1.0,-,-,-,20.262135220429737,0.02013469302554666,0.9281207113743245,248.67792718757087,0.29883925256845156,-5.157280421803236
33,0.45,561.0,Grid1296,Matern,1.0,1.5,-,-,8.71097130777551,0.00901079103276012,0.9867148482894007,59.300157538141875,0.054850285789522765,0.6498725587303609
34,0.45,561.0,Grid1296,RQ,1.0,-,1.0,-,20.763046804501926,0.017073334022038075,0.9245228457112225,52.25157110821502,0.06014233286386758,0.7281601245468023
35,0.45,561.0,Grid1296,ESS,1.0,-,-,1.0,683.4004772179993,1.0,-80.76810014232238,670.2290450279789,0.9783489242190241,-43.72609116538965
36,0.45,561.0,Grid2401,RBF,1.0,-,-,-,51.3442144418518,0.03935188912101066,0.4420779484854178,295.27219385028286,0.37983050059494267,-7.378045250785643
37,0.45,561.0,Grid2401,Matern,1.0,1.5,-,-,32.54749698787365,0.015697345516224686,0.7758051197755076,43.09450698202666,0.04760563362513336,0.8215397762406869
38,0.45,561.0,Grid2401,RQ,1.0,-,1.0,-,28.14313012721044,0.016214123707796835,0.8323763484185693,82.84911207837601,0.08378520613506628,0.34041113312124194
39,0.45,561.0,Grid2401,ESS,1.0,-,-,1.0,704.3776959008395,1.0,-104.00299603961423,663.0747537780394,0.9708983138464402,-41.24959842512087
40,0.45,561.0,Sobol1,RBF,1.0,-,-,-,16.50805106124305,0.016126093027111602,0.9769489727550381,26.749760844950586,0.022424046525226185,0.9212610342875498
41,0.45,561.0,Sobol1,Matern,1.0,1.5,-,-,11.933399733194884,0.011065827409734188,0.9879544383740148,20.419182858976242,0.016740471582323863,0.9541196612984607
42,0.45,561.0,Sobol1,RQ,1.0,-,1.0,-,18.35419029635557,0.01794457245309246,0.9715049687693346,22.715263521805706,0.020314937700516355,0.9432212983285616
43,0.45,561.0,Sobol1,ESS,1.0,-,-,1.0,665.4051685245956,0.9915787967961214,-36.45165523788911,677.9112010889863,0.9926653139335815,-49.57029861975368
44,0.45,561.0,Sobol2,RBF,1.0,-,-,-,20.3671957125438,0.021079902318647977,0.9659232555951919,26.697731416069935,0.022504969248774154,0.9197337074604455
45,0.45,561.0,Sobol2,Matern,1.0,1.5,-,-,17.28301716308567,0.016002919383846476,0.9754622495137729,20.42547047430006,0.01717799136434968,0.9530183114287281
46,0.45,561.0,Sobol2,RQ,1.0,-,1.0,-,23.517203572681463,0.022674163535148843,0.9545674638627204,22.44677738347354,0.01995701958019179,0.9432595882310325
47,0.45,561.0,Sobol2,ESS,1.0,-,-,1.0,663.3764742414429,0.9972325570511708,-35.150620421317576,680.1667305120558,0.9965467595725642,-51.097304615784246
