,SigC,SigH,EpsC,EpsH,density
76,0.15078125,0.1474609375,0.6578124999999999,0.04828125,658.414
77,0.30078125,0.2999609374999999,0.1578125,0.1182812499999999,460.268
78,0.22578125,0.0712109375,0.9078125,0.01328125,691.0
79,0.07578125,0.2237109374999999,0.4078124999999999,0.0832812499999999,670.352
80,0.08515625,0.0807421875,0.8140624999999999,0.0789062499999999,648.111
81,0.23515625,0.2332421874999999,0.3140624999999999,0.14890625,694.558
82,0.3101562499999999,0.1569921875,1.0640625,0.04390625,862.145
83,0.16015625,0.3094921874999999,0.5640624999999999,0.1139062499999999,397.903
84,0.1976562499999999,0.1951171875,0.1890625,0.0964062499999999,690.2
85,0.34765625,0.3476171875,0.6890624999999999,0.02640625,417.65
86,0.27265625,0.1188671875,0.4390624999999999,0.13140625,711.652
87,0.12265625,0.2713671875,0.9390625,0.0614062499999999,538.037
88,0.10390625,0.1379296875,0.5015624999999999,0.01765625,648.197
89,0.25390625,0.2904296875,1.0015625,0.0876562499999999,519.748
90,0.3289062499999999,0.0616796875,0.2515624999999999,0.0526562499999999,732.035
91,0.17890625,0.2141796875,0.7515624999999999,0.1226562499999999,702.866
92,0.14140625,0.0998046874999999,1.1265625,0.1401562499999999,651.195
93,0.29140625,0.2523046875,0.6265624999999999,0.0701562499999999,698.156
94,0.21640625,0.1760546874999999,0.8765624999999999,0.1051562499999999,710.243
96,0.06171875,0.0855078125,0.5484374999999999,0.0592187499999999,647.671
97,0.21171875,0.2380078124999999,1.0484375,0.12921875,688.457
98,0.2867187499999999,0.1617578125,0.2984374999999999,0.0242187499999999,707.346
99,0.13671875,0.3142578124999999,0.7984374999999999,0.0942187499999999,343.184
100,0.1742187499999999,0.1236328125,0.9234375,0.1117187499999999,661.734
101,0.32421875,0.2761328125,0.4234374999999999,0.04171875,633.737
102,0.24921875,0.0473828124999999,0.6734374999999999,0.1467187499999999,702.989
103,0.09921875,0.1998828125,0.1734375,0.0767187499999999,676.804
104,0.11796875,0.1808203124999999,0.7359374999999999,0.03296875,655.846
106,0.34296875,0.1045703125,0.9859375,0.06796875,913.767
107,0.19296875,0.2570703125,0.4859374999999999,0.13796875,618.143
108,0.15546875,0.0664453124999999,0.3609374999999999,0.1204687499999999,643.783
109,0.3054687499999999,0.2189453125,0.8609374999999999,0.05046875,817.609
110,0.23046875,0.1426953125,0.6109374999999999,0.0854687499999999,687.992
111,0.08046875,0.2951953125,1.1109375,0.01546875,453.778
112,0.07109375,0.1522265625,0.2671874999999999,0.14234375,669.976
113,0.2210937499999999,0.3047265624999999,0.7671874999999999,0.07234375,396.899
114,0.29609375,0.0759765625,0.5171874999999999,0.1073437499999999,752.192
115,0.14609375,0.2284765624999999,1.0171875,0.0373437499999999,655.327
116,0.18359375,0.1141015625,0.8921874999999999,0.01984375,662.78
117,0.3335937499999999,0.2666015625,0.3921874999999999,0.0898437499999999,657.045
118,0.25859375,0.1903515625,1.1421875,0.05484375,770.631
120,0.08984375,0.0569140625,1.0796875,0.0810937499999999,648.466
121,0.23984375,0.2094140625,0.5796874999999999,0.01109375,691.601
122,0.31484375,0.1331640625,0.8296874999999999,0.1160937499999999,836.137
123,0.16484375,0.2856640625,0.3296874999999999,0.0460937499999999,465.517
124,0.12734375,0.1712890624999999,0.4546874999999999,0.0635937499999999,663.993
126,0.20234375,0.0950390625,0.2046875,0.02859375,652.093
127,0.05234375,0.2475390625,0.7046874999999999,0.0985937499999999,629.034
128,0.053515625,0.14626953125,0.4429687499999999,0.036796875,647.065
130,0.278515625,0.07001953125,0.19296875,0.071796875,678.197
131,0.128515625,0.22251953125,0.6929687499999999,0.141796875,695.918
132,0.166015625,0.10814453125,1.06796875,0.1242968749999999,662.145
133,0.3160156249999999,0.26064453125,0.5679687499999999,0.0542968749999999,701.501
134,0.241015625,0.18439453125,0.8179687499999999,0.0892968749999999,730.421
136,0.109765625,0.05095703125,0.8804687499999999,0.045546875,645.872
137,0.259765625,0.2034570312499999,0.3804687499999999,0.1155468749999999,729.27
138,0.3347656249999999,0.12720703125,1.13046875,0.010546875,925.69
139,0.184765625,0.27970703125,0.6304687499999999,0.0805468749999999,505.572
140,0.147265625,0.16533203125,0.2554687499999999,0.0980468749999999,669.743
141,0.297265625,0.31783203125,0.7554687499999999,0.028046875,456.44
142,0.222265625,0.08908203125,0.5054687499999999,0.1330468749999999,674.332
143,0.072265625,0.24158203125,1.00546875,0.0630468749999999,638.747
144,0.081640625,0.0986132812499999,0.3492187499999999,0.0936718749999999,646.851
145,0.231640625,0.25111328125,0.8492187499999999,0.023671875,658.206
146,0.306640625,0.17486328125,0.5992187499999999,0.128671875,803.398
148,0.194140625,0.1367382812499999,0.7242187499999999,0.0761718749999999,666.56
149,0.344140625,0.28923828125,0.2242187499999999,0.146171875,547.62
150,0.269140625,0.06048828125,0.97421875,0.041171875,763.487
151,0.119140625,0.21298828125,0.4742187499999999,0.1111718749999999,690.488
152,0.100390625,0.1939257812499999,0.91171875,0.137421875,698.973
154,0.325390625,0.11767578125,0.6617187499999999,0.1024218749999999,822.523
155,0.175390625,0.2701757812499999,0.16171875,0.0324218749999999,549.767
156,0.137890625,0.07955078125,0.5367187499999999,0.014921875,649.281
157,0.287890625,0.23205078125,1.03671875,0.084921875,789.558
158,0.212890625,0.15580078125,0.2867187499999999,0.049921875,665.051
159,0.062890625,0.30830078125,0.7867187499999999,0.1199218749999999,406.025
160,0.067578125,0.06525390625,1.14609375,0.1133593749999999,645.772
161,0.217578125,0.21775390625,0.6460937499999999,0.043359375,684.679
162,0.2925781249999999,0.1415039062499999,0.8960937499999999,0.148359375,809.673
163,0.142578125,0.29400390625,0.3960937499999999,0.0783593749999999,434.164
164,0.1800781249999999,0.17962890625,0.5210937499999999,0.0608593749999999,672.869
165,0.330078125,0.3321289062499999,1.02109375,0.130859375,465.258
166,0.255078125,0.10337890625,0.2710937499999999,0.0258593749999999,673.919
167,0.105078125,0.25587890625,0.7710937499999999,0.0958593749999999,604.059
168,0.123828125,0.12244140625,0.20859375,0.1221093749999999,648.575
169,0.273828125,0.27494140625,0.7085937499999999,0.052109375,599.723
170,0.348828125,0.04619140625,0.4585937499999999,0.0871093749999999,802.382
171,0.198828125,0.1986914062499999,0.95859375,0.017109375,677.997
172,0.161328125,0.08431640625,0.8335937499999999,0.034609375,652.779
173,0.3113281249999999,0.23681640625,0.3335937499999999,0.1046093749999999,723.262
174,0.236328125,0.16056640625,1.08359375,0.0696093749999999,724.215
176,0.076953125,0.17009765625,0.6773437499999999,0.021484375,653.021
178,0.301953125,0.09384765625,0.92734375,0.0564843749999999,824.434
179,0.151953125,0.24634765625,0.4273437499999999,0.1264843749999999,644.644
180,0.189453125,0.05572265625,0.3023437499999999,0.143984375,650.305
181,0.3394531249999999,0.2082226562499999,0.8023437499999999,0.0739843749999999,865.36
182,0.264453125,0.13197265625,0.5523437499999999,0.1089843749999999,718.54
183,0.114453125,0.28447265625,1.05234375,0.0389843749999999,472.282
184,0.095703125,0.1129101562499999,0.6148437499999999,0.065234375,649.926
185,0.245703125,0.26541015625,1.11484375,0.135234375,629.189
