,Avg. RMSE
0,0.09514449367328214
1,0.1091129884289823
2,0.1260511682084106
3,0.1994379705585885
4,0.3584753191625456
5,0.09794724218053137
6,0.35214387637899097
7,0.08420387160261526
8,0.3396965575152595
9,0.3599736429300246
10,0.09259116754373427
11,0.3542436441453811
