,target,minMAPE-0,AbsDiffs-0,RelDiffs-0,minMAPE-1,AbsDiffs-1,RelDiffs-1,minMAPE-2,AbsDiffs-2,RelDiffs-2,minMAPE-3,AbsDiffs-3,RelDiffs-3,minMAPE-4,AbsDiffs-4,RelDiffs-4,minMAPE-5,AbsDiffs-5,RelDiffs-5,minMAPE-6,AbsDiffs-6,RelDiffs-6,minMAPE-7,AbsDiffs-7,RelDiffs-7,minMAPE-8,AbsDiffs-8,RelDiffs-8,minMAPE-9,AbsDiffs-9,RelDiffs-9,minMAPE-10,AbsDiffs-10,RelDiffs-10,minMAPE-11,AbsDiffs-11,RelDiffs-11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.491,0.637,0.14600000000000002,0.0,0.6588,0.16780000000000006,0.0,0.4612712,-0.0297288,0.0,0.40409,-0.08690999999999999,0.0,0.8342999999999998,0.3432999999999998,0.0,0.6403999999999999,0.14939999999999987,0.0,0.8422999999999998,0.35129999999999983,0.0,0.59143,0.10043000000000002,0.0,0.8280000000000003,0.3370000000000003,0.0,0.8370999999999995,0.3460999999999995,0.0,0.6232,0.13219999999999998,0.0,0.8429000000000002,0.3519000000000002,0.0
2,0.746,1.0593,0.3132999999999999,0.0,1.0860999999999998,0.34009999999999985,0.0,0.90183,0.15583000000000002,0.0,0.63104,-0.11495999999999995,0.0,1.6665,0.9205000000000001,0.0,1.0690000000000002,0.3230000000000002,0.0,1.6094,0.8634,0.0,1.0472300000000003,0.30123000000000033,0.0,1.6022999999999996,0.8562999999999996,0.0,1.6734999999999998,0.9274999999999998,0.0,1.0674000000000001,0.32140000000000013,0.0,1.6098,0.8637999999999999,0.0
3,0.542,0.6009000000000002,0.058900000000000174,0.0,0.6167,0.07469999999999999,0.0,0.472594,-0.06940600000000002,0.0,0.39402000000000004,-0.14798,0.0,0.8297999999999996,0.2877999999999996,0.0,0.6026,0.06059999999999999,0.0,0.8203999999999994,0.2783999999999993,0.0,0.57133,0.029329999999999967,0.0,0.8106999999999998,0.2686999999999997,0.0,0.8322000000000003,0.29020000000000024,0.0,0.5932,0.05119999999999991,0.0,0.8209,0.2788999999999999,0.0
4,1.195,1.3975,0.2024999999999999,0.1694560669456066,1.4408999999999998,0.24589999999999979,0.20577405857740566,1.03091,-0.16409000000000007,-0.1373138075313808,0.931797,-0.2632030000000001,-0.2202535564853557,1.7732999999999999,0.5782999999999998,0.48393305439330525,1.4035,0.2084999999999999,0.17447698744769866,1.7912,0.5961999999999998,0.49891213389121325,1.30173,0.10672999999999999,0.08931380753138074,1.7626,0.5675999999999999,0.47497907949790785,1.7785000000000002,0.5835000000000001,0.488284518828452,1.3674,0.1723999999999999,0.14426778242677815,1.7961,0.6011,0.5030125523012552
5,1.17,1.5788000000000002,0.4088000000000003,0.34940170940170967,1.6247,0.4547000000000001,0.38863247863247874,1.26289,0.09289000000000014,0.07939316239316252,0.929092,-0.2409079999999999,-0.20590427350427343,2.4024,1.2324000000000002,1.0533333333333335,1.5915000000000001,0.4215000000000002,0.3602564102564105,2.3427999999999995,1.1727999999999996,1.0023931623931621,1.52753,0.3575300000000001,0.3055811965811967,2.3267999999999995,1.1567999999999996,0.9887179487179485,2.4117999999999995,1.2417999999999996,1.061367521367521,1.5755,0.40549999999999997,0.34658119658119657,2.3473000000000006,1.1773000000000007,1.0062393162393168
6,1.057,1.2394000000000003,0.18240000000000034,0.17256385998107884,1.2784000000000002,0.22140000000000026,0.2094607379375594,0.93138,-0.12561999999999995,-0.11884578997161775,0.7993830000000001,-0.2576169999999999,-0.24372469252601692,1.6586999999999996,0.6016999999999997,0.5692526017029326,1.2463,0.18930000000000002,0.17909176915799435,1.6571999999999996,0.6001999999999996,0.5678334910122986,1.16303,0.10603000000000007,0.10031220435193952,1.6338,0.5768,0.5456953642384106,1.6634000000000002,0.6064000000000003,0.573699148533586,1.2178,0.16080000000000005,0.15212866603595088,1.6608999999999998,0.6038999999999999,0.5713339640491958
7,1.183,1.7415000000000003,0.5585000000000002,0.47210481825866457,1.7933000000000001,0.6103000000000001,0.5158918005071852,1.48257,0.2995699999999999,0.25322907861369387,0.9131020000000001,-0.26989799999999997,-0.22814708368554518,3.0088999999999997,1.8258999999999996,1.5434488588334738,1.7596,0.5766,0.48740490278951815,2.841899999999999,1.658899999999999,1.4022823330515628,1.72303,0.54003,0.45649196956889265,2.8433,1.6603,1.4034657650042266,3.0230999999999995,1.8400999999999994,1.555452240067624,1.7557999999999998,0.5727999999999998,0.4841927303465763,2.841899999999999,1.658899999999999,1.4022823330515628
8,1.084,1.1952000000000003,0.11120000000000019,0.10258302583025847,1.2289,0.14490000000000003,0.13367158671586718,0.94372,-0.14028000000000007,-0.12940959409594102,0.784535,-0.2994650000000001,-0.276259225092251,1.6547,0.5707,0.5264760147601476,1.2053,0.12129999999999996,0.11190036900368999,1.6360999999999999,0.5520999999999998,0.5093173431734316,1.13993,0.055930000000000035,0.05159594095940962,1.6178999999999997,0.5338999999999996,0.49252767527675234,1.6601,0.5760999999999998,0.5314575645756455,1.1810999999999998,0.09709999999999974,0.08957564575645732,1.6381999999999994,0.5541999999999994,0.5112546125461248
9,1.261,1.8507000000000002,0.5897000000000003,0.4676447264076133,1.906,0.645,0.5114988104678827,1.49577,0.23477000000000015,0.18617763679619362,1.03027,-0.23072999999999988,-0.18297383029341785,3.051899999999999,1.790899999999999,1.4202220459952413,1.8699999999999999,0.609,0.4829500396510706,2.9217999999999993,1.6607999999999994,1.317049960348929,1.8138300000000003,0.5528300000000004,0.43840602696272835,2.9132,1.6522,1.3102299762093577,3.0663,1.8053000000000001,1.431641554321967,1.8576000000000001,0.5966000000000002,0.4731165741475022,2.9221000000000004,1.6611000000000005,1.3172878667724033
10,1.089,1.1985000000000001,0.10950000000000015,0.10055096418732797,1.2324,0.14339999999999997,0.13168044077134983,0.9447099999999999,-0.14429000000000003,-0.13249770431588617,0.782923,-0.30607699999999993,-0.2810624426078971,1.6582,0.5691999999999999,0.5226813590449954,1.2055999999999998,0.11659999999999981,0.1070707070707069,1.6384999999999996,0.5494999999999997,0.5045913682277315,1.1414300000000002,0.0524300000000002,0.04814508723599651,1.6212999999999997,0.5322999999999998,0.48879706152433405,1.6636999999999995,0.5746999999999995,0.5277318640955001,1.1856999999999998,0.09669999999999979,0.08879706152433406,1.6421999999999999,0.5531999999999999,0.5079889807162534
11,0.679,1.0622000000000003,0.3832000000000002,0.0,1.0933,0.4142999999999999,0.0,0.86151,0.18250999999999995,0.0,0.60612,-0.07288000000000006,0.0,1.6541999999999994,0.9751999999999994,0.0,1.0725,0.39349999999999996,0.0,1.6050999999999993,0.9260999999999993,0.0,1.0369300000000004,0.3579300000000003,0.0,1.5965999999999996,0.9175999999999995,0.0,1.6603000000000003,0.9813000000000003,0.0,1.0648,0.3857999999999999,0.0,1.6074000000000002,0.9284000000000001,0.0
12,1.27,1.6428000000000003,0.37280000000000024,0.29354330708661436,1.6875000000000002,0.4175000000000002,0.3287401574803151,1.36147,0.09146999999999994,0.07202362204724405,1.00957,-0.26042999999999994,-0.2050629921259842,2.4833999999999996,1.2133999999999996,0.9554330708661414,1.6529,0.3829,0.301496062992126,2.412799999999999,1.142799999999999,0.8998425196850385,1.60393,0.33393000000000006,0.2629370078740158,2.4012000000000002,1.1312000000000002,0.890708661417323,2.4925999999999995,1.2225999999999995,0.9626771653543302,1.6433999999999997,0.37339999999999973,0.2940157480314958,2.4161,1.1461000000000001,0.9024409448818899
13,0.929,1.3568000000000002,0.4278000000000002,0.0,1.3954000000000002,0.46640000000000015,0.0,1.16824,0.2392399999999999,0.0,0.73189,-0.19711,0.0,2.3221,1.3930999999999998,0.0,1.3716000000000002,0.4426000000000001,0.0,2.1978999999999997,1.2688999999999997,0.0,1.3466300000000002,0.41763000000000017,0.0,2.1978999999999997,1.2688999999999997,0.0,2.3320999999999996,1.4030999999999996,0.0,1.3697,0.44069999999999987,0.0,2.1975999999999996,1.2685999999999995,0.0
