,Avg. RMSE
0,0.1994379705585885
1,0.1091129884289823
2,0.3584753191625456
3,0.35214387637899097
4,0.3446331077090217
5,0.1260511682084106
6,0.38019159472752745
7,0.09514449367328214
8,0.35226368160655475
9,0.08420387160261526
10,0.10454310845900959
11,0.09441781690279223
