,target,maxR2-0,AbsDiffs-0,RelDiffs-0,maxR2-1,AbsDiffs-1,RelDiffs-1,maxR2-2,AbsDiffs-2,RelDiffs-2,maxR2-3,AbsDiffs-3,RelDiffs-3,maxR2-4,AbsDiffs-4,RelDiffs-4,maxR2-5,AbsDiffs-5,RelDiffs-5,maxR2-6,AbsDiffs-6,RelDiffs-6,maxR2-7,AbsDiffs-7,RelDiffs-7,maxR2-8,AbsDiffs-8,RelDiffs-8,maxR2-9,AbsDiffs-9,RelDiffs-9,maxR2-10,AbsDiffs-10,RelDiffs-10,maxR2-11,AbsDiffs-11,RelDiffs-11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.491,0.40409,-0.08690999999999999,0.0,0.6588,0.16780000000000006,0.0,0.8342999999999998,0.3432999999999998,0.0,0.8422999999999998,0.35129999999999983,0.0,0.8308,0.3398,0.0,0.4612712,-0.0297288,0.0,0.8559000000000001,0.3649000000000001,0.0,0.637,0.14600000000000002,0.0,0.8362000000000007,0.34520000000000073,0.0,0.59143,0.10043000000000002,0.0,0.48756,-0.0034399999999999986,0.0,0.6354999999999997,0.14449999999999974,0.0
2,0.746,0.63104,-0.11495999999999995,0.0,1.0860999999999998,0.34009999999999985,0.0,1.6665,0.9205000000000001,0.0,1.6094,0.8634,0.0,1.6172000000000004,0.8712000000000004,0.0,0.90183,0.15583000000000002,0.0,1.6981000000000002,0.9521000000000002,0.0,1.0593,0.3132999999999999,0.0,1.6307,0.8847,0.0,1.0472300000000003,0.30123000000000033,0.0,0.87297,0.12697000000000003,0.0,1.0573,0.3112999999999999,0.0
3,0.542,0.39402000000000004,-0.14798,0.0,0.6167,0.07469999999999999,0.0,0.8297999999999996,0.2877999999999996,0.0,0.8203999999999994,0.2783999999999993,0.0,0.8151000000000002,0.2731000000000001,0.0,0.472594,-0.06940600000000002,0.0,0.8468999999999998,0.3048999999999997,0.0,0.6009000000000002,0.058900000000000174,0.0,0.8214000000000006,0.27940000000000054,0.0,0.57133,0.029329999999999967,0.0,0.48229,-0.05971000000000004,0.0,0.5961999999999998,0.054199999999999804,0.0
4,1.195,0.931797,-0.2632030000000001,-0.2202535564853557,1.4408999999999998,0.24589999999999979,0.20577405857740566,1.7732999999999999,0.5782999999999998,0.48393305439330525,1.7912,0.5961999999999998,0.49891213389121325,1.7675999999999998,0.5725999999999998,0.4791631799163178,1.03091,-0.16409000000000007,-0.1373138075313808,1.8142000000000005,0.6192000000000004,0.5181589958158999,1.3975,0.2024999999999999,0.1694560669456066,1.7777000000000003,0.5827000000000002,0.48761506276150646,1.30173,0.10672999999999999,0.08931380753138074,1.09412,-0.10088000000000008,-0.08441841004184107,1.3913999999999997,0.19639999999999969,0.16435146443514617
5,1.17,0.929092,-0.2409079999999999,-0.20590427350427343,1.6247,0.4547000000000001,0.38863247863247874,2.4024,1.2324000000000002,1.0533333333333335,2.3427999999999995,1.1727999999999996,1.0023931623931621,2.3433,1.1733000000000002,1.002820512820513,1.26289,0.09289000000000014,0.07939316239316252,2.4551,1.2851,1.0983760683760684,1.5788000000000002,0.4088000000000003,0.34940170940170967,2.3637000000000006,1.1937000000000006,1.020256410256411,1.52753,0.3575300000000001,0.3055811965811967,1.2541099999999998,0.08410999999999991,0.07188888888888881,1.5725,0.4025000000000001,0.3440170940170941
6,1.057,0.7993830000000001,-0.2576169999999999,-0.24372469252601692,1.2784000000000002,0.22140000000000026,0.2094607379375594,1.6586999999999996,0.6016999999999997,0.5692526017029326,1.6571999999999996,0.6001999999999996,0.5678334910122986,1.6413000000000002,0.5843000000000003,0.5527909176915802,0.93138,-0.12561999999999995,-0.11884578997161775,1.6977000000000002,0.6407000000000003,0.6061494796594137,1.2394000000000003,0.18240000000000034,0.17256385998107884,1.6525000000000007,0.5955000000000008,0.5633869441816469,1.16303,0.10603000000000007,0.10031220435193952,0.96989,-0.08710999999999991,-0.0824124881740775,1.2350999999999999,0.17809999999999993,0.16849574266792805
7,1.183,0.9131020000000001,-0.26989799999999997,-0.22814708368554518,1.7933000000000001,0.6103000000000001,0.5158918005071852,3.0088999999999997,1.8258999999999996,1.5434488588334738,2.841899999999999,1.658899999999999,1.4022823330515628,2.8745000000000003,1.6915000000000002,1.429839391377853,1.48257,0.2995699999999999,0.25322907861369387,3.0655,1.8825,1.591293322062553,1.7415000000000003,0.5585000000000002,0.47210481825866457,2.9064000000000005,1.7234000000000005,1.456804733727811,1.72303,0.54003,0.45649196956889265,1.38461,0.20160999999999984,0.17042265426880798,1.7377999999999998,0.5547999999999997,0.46897717666948413
8,1.084,0.784535,-0.2994650000000001,-0.276259225092251,1.2289,0.14490000000000003,0.13367158671586718,1.6547,0.5707,0.5264760147601476,1.6360999999999999,0.5520999999999998,0.5093173431734316,1.6277,0.5436999999999999,0.5015682656826567,0.94372,-0.14028000000000007,-0.12940959409594102,1.6913999999999998,0.6073999999999997,0.5603321033210329,1.1952000000000003,0.11120000000000019,0.10258302583025847,1.6405000000000003,0.5565000000000002,0.5133763837638378,1.13993,0.055930000000000035,0.05159594095940962,0.96127,-0.12273000000000012,-0.11321955719557206,1.1906999999999999,0.1066999999999998,0.09843173431734298
9,1.261,1.03027,-0.23072999999999988,-0.18297383029341785,1.906,0.645,0.5114988104678827,3.051899999999999,1.790899999999999,1.4202220459952413,2.9217999999999993,1.6607999999999994,1.317049960348929,2.9410999999999996,1.6800999999999997,1.332355273592387,1.49577,0.23477000000000015,0.18617763679619362,3.1137999999999995,1.8527999999999996,1.4693100713719267,1.8507000000000002,0.5897000000000003,0.4676447264076133,2.9735000000000005,1.7125000000000006,1.3580491673275183,1.8138300000000003,0.5528300000000004,0.43840602696272835,1.4595099999999999,0.19850999999999996,0.15742268041237112,1.8496,0.5886,0.46677240285487714
10,1.089,0.782923,-0.30607699999999993,-0.2810624426078971,1.2324,0.14339999999999997,0.13168044077134983,1.6582,0.5691999999999999,0.5226813590449954,1.6384999999999996,0.5494999999999997,0.5045913682277315,1.6303999999999998,0.5413999999999999,0.49715335169880615,0.9447099999999999,-0.14429000000000003,-0.13249770431588617,1.6944,0.6053999999999999,0.5559228650137741,1.1985000000000001,0.10950000000000015,0.10055096418732797,1.6424000000000003,0.5534000000000003,0.5081726354453631,1.1414300000000002,0.0524300000000002,0.04814508723599651,0.96264,-0.12635999999999992,-0.1160330578512396,1.1941,0.10509999999999997,0.09651056014692376
