,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
37,0.1,554.0,Sobol1,0.009416682005271,0.986868928026198,0.0176966930323565,0.9452682098096096
38,0.1,554.0,Sobol1,0.0094646142224692,0.9871794956124044,0.0176743606885945,0.9457731730183164
39,0.2,222.0,Sobol1,0.0095042379895769,0.9894288296158072,0.0176474542550131,0.9460314924114148
40,0.05,791.0,Sobol1,0.0095124003744871,0.993289758858212,0.0177682663309863,0.9462672450313658
41,0.05,111.0,Sobol1,0.0095321925188953,0.9920001637224668,0.01731235383903,0.946903563936336
42,0.2,222.0,Sobol1,0.0095355429863888,0.989388656990048,0.0176604027454764,0.9459632799969778
43,0.2,222.0,Sobol1,0.0095503741814605,0.9893099070755432,0.0176452921203097,0.945982108004844
44,0.1,936.0,Sobol1,0.0096076603165496,0.9921940788481052,0.0171838039171519,0.9470250306633208
45,0.2,222.0,Sobol1,0.0096321982368531,0.989417321096525,0.0177275141077466,0.9454911538255804
46,0.1,936.0,Sobol1,0.009636342355866,0.9920439506513408,0.0172095214603309,0.9468618376209612
47,0.05,111.0,Sobol1,0.0096435344930743,0.9919815743769622,0.0173356039090583,0.9468154688426772
48,0.05,854.0,Sobol1,0.0096706875969878,0.9904142280129336,0.0173778829407203,0.9465418268051152
49,0.05,111.0,Sobol1,0.0096890125789778,0.99171405522851,0.0173327322088299,0.9468660178226558
50,0.05,854.0,Sobol1,0.0096998013276291,0.9906827033104998,0.0174052598575382,0.9462552699563112
51,0.05,854.0,Sobol1,0.0097115431062434,0.9907521655288132,0.0174400794607448,0.9462093579264812
52,0.1,936.0,Sobol1,0.009728855156419,0.9920189634561029,0.0172290708440862,0.9468381295285788
53,0.2,490.0,Sobol1,0.0097302135260558,0.9933153515439692,0.0174024872431169,0.9463670287516092
54,0.05,854.0,Sobol1,0.0097443857287306,0.9902189330748232,0.0174425845371194,0.9461460651384096
55,0.05,111.0,Sobol1,0.0097535617966918,0.991807691743285,0.017336344135716,0.9470609982635322
56,0.05,854.0,Sobol1,0.0097693857717237,0.9905892556680028,0.0173129170840177,0.9465445379293796
57,0.2,490.0,Sobol1,0.0097822347830604,0.993250025305338,0.0173948573930104,0.9463990628120278
58,0.2,222.0,Sobol1,0.0097884949270713,0.9892987078169568,0.0177853262094523,0.9451938813052304
