,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.05,794.0,Sobol1,0.0083380667068237,0.9919745467324724,0.0171451183907269,0.9475100804175228
1,0.05,930.0,Sobol1,0.008344592766256,0.9951704455000326,0.0171501634391923,0.947959606043166
2,0.05,794.0,Sobol1,0.0083620260647115,0.9916657920012958,0.017193401335098,0.9469214370624668
3,0.05,930.0,Sobol1,0.0083623545165858,0.9950750946885591,0.0172427097729834,0.9474817249726152
4,0.05,930.0,Sobol1,0.0083820501151137,0.9951430052519166,0.0171774512030955,0.947869771630174
5,0.05,930.0,Sobol1,0.0083855718117206,0.9950992922621492,0.0172055783834612,0.947780959653944
6,0.05,930.0,Sobol1,0.0083958036179161,0.9951012327368608,0.0171082364822767,0.947774304843525
7,0.05,561.0,Sobol1,0.0084017728260509,0.9938456287692462,0.0173562645510439,0.9473697744505056
8,0.05,561.0,Sobol1,0.0084354327787218,0.9939360993655554,0.0173315625733514,0.9474901872466278
9,0.05,561.0,Sobol1,0.0084492899081954,0.9937638799849569,0.01738343164783,0.9473038540281814
10,0.05,794.0,Sobol1,0.008466910149808,0.9916874606687012,0.0171914114083764,0.9469545761524668
11,0.05,561.0,Sobol1,0.0084888351224855,0.9939310127774348,0.0173420991795765,0.9474631043278562
12,0.05,794.0,Sobol1,0.0084947994708063,0.9914111985415456,0.0171938775951994,0.9469537638248504
13,0.05,561.0,Sobol1,0.0085030045482631,0.994078213761164,0.0173605742578135,0.9473202990162904
14,0.05,794.0,Sobol1,0.0088073035367093,0.9909465644074164,0.0172974343092173,0.947002994936522
15,0.05,390.0,Sobol1,0.0088837491047821,0.9951869988273108,0.0172491822442579,0.9477113508803524
16,0.05,390.0,Sobol1,0.0089484898238963,0.9950844822170676,0.0172563013599988,0.9476497443706816
17,0.05,390.0,Sobol1,0.0089494090498635,0.9951172218342692,0.0172422796454481,0.9480691555746036
18,0.05,554.0,Sobol1,0.0089618344327267,0.9873860392541064,0.01735271870038,0.9462877543231548
19,0.05,554.0,Sobol1,0.0089623472956286,0.98689447243698,0.0173093607649423,0.9466765162807936
20,0.05,390.0,Sobol1,0.0089822035122238,0.9950363933027944,0.0172671711661204,0.9476415199015832
21,0.05,554.0,Sobol1,0.0090099703037919,0.9871650489794898,0.0173149949456923,0.9465627594985542
22,0.05,554.0,Sobol1,0.0090145499171444,0.9873407008275712,0.017327829318724,0.946663618408866
23,0.05,791.0,Sobol1,0.0091105615539331,0.9936760575268604,0.0173753493251175,0.9479966357649746
24,0.1,510.0,Sobol1,0.0091122420161516,0.9930349531724688,0.0172823091032865,0.94844870416365
25,0.1,510.0,Sobol1,0.0091437100513129,0.9930459325232328,0.0172947151577369,0.9484303775191714
26,0.1,510.0,Sobol1,0.0091562811990388,0.9929899166857308,0.0173547213369674,0.948147980427168
27,0.1,510.0,Sobol1,0.0091592618546995,0.993042190354336,0.0172761587864608,0.9484460268392848
