,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
51,0.05,180.0,Sobol1,0.004630739290006,0.9977456389870002,0.0157975178863298,0.9458322139270096
52,0.15,294.0,Sobol1,0.0046328912101767,0.9980908267290122,0.0155002928329005,0.9479905245114414
53,0.05,678.0,Sobol1,0.0046365796081907,0.9989983743352848,0.0177732869131921,0.92642842187883
54,0.1,816.0,Sobol1,0.0046519489423206,0.9984046636465874,0.015603148181984,0.9469477527801792
55,0.1,111.0,Sobol1,0.0046794713344538,0.997918742508204,0.0155601525017819,0.944548448471564
56,0.05,854.0,Sobol1,0.0046871644278037,0.9965387606304028,0.0158164697403902,0.9456621816856966
57,0.05,554.0,Sobol1,0.0047064710459399,0.9979091156173796,0.0153920888674754,0.9503025976570908
58,0.25,633.0,Sobol1,0.0047118623898937,0.9973457878510488,0.0155400389012875,0.947082523869625
59,0.1,633.0,Sobol1,0.0047208774153256,0.9977775122105448,0.0157666474093843,0.9435096110556672
60,0.05,180.0,Sobol1,0.0047415324860611,0.9984167875424688,0.0157019639253621,0.9468901525859784
61,0.15,633.0,Sobol1,0.0047473132675191,0.9983009312457674,0.0154024374392746,0.949289986216623
62,0.05,554.0,Sobol1,0.0047480686340464,0.9974071549883092,0.0156857966420323,0.9464209027357818
63,0.2,928.0,Sobol1,0.0047786774395414,0.99765147456749,0.0156489839756092,0.9430510604990986
64,0.15,968.0,Sobol1,0.0047846734179702,0.9976639858411224,0.0154437066298476,0.9465816189508284
65,0.1,180.0,Sobol1,0.0047854889228347,0.9972384605966168,0.0170708136027718,0.935237838482448
66,0.05,794.0,Sobol1,0.0047857502512135,0.9978522934680156,0.0243021553991821,0.8374013130733845
67,0.05,633.0,Sobol1,0.0047918806814698,0.9980427499694744,0.0156728322266957,0.9470173408706616
68,0.15,816.0,Sobol1,0.0048103591023092,0.9982725084089068,0.0156203848268502,0.9472894800825176
