,ratio,rndint,dataset,learning_rate,batchsize,epochs,loss,time,mape,r2,mape_test,r2_test,mape_interpolation,r2_interpolation
2830,0.75,249.0,Sobol1,0.001,9.0,200.0,5.004533767700195,34.781083822250366,0.0195262507696526,0.9725445658419172,0.0204641742091848,0.969090774807732,0.0240903912917815,0.9403130903439352
2831,0.75,249.0,Sobol2,0.001,5.0,200.0,9.645910263061523,52.02960681915283,0.0185521841459191,0.9747185724089632,0.0202148556314671,0.978228715773613,0.0158109087530454,0.9653546412353828
2832,0.75,272.0,Grid1296,0.001,9.0,200.0,9.23342514038086,18.694725036621094,0.0185556381250659,0.7955678828863171,0.0235748231126453,0.6736979186209053,0.0463347389061868,0.3505694221742425
2833,0.75,272.0,Grid2401,0.001,661.0,200.0,31.274803161621094,0.8252289295196533,0.0437322810193515,0.2382578398435345,0.0423507564164505,0.1693381535783189,0.0775485819744012,-3.679361046449471
2834,0.75,272.0,Sobol1,0.001,9.0,200.0,13.53018856048584,33.587973833084106,0.0182836792636903,0.9750546369687052,0.018234259959831,0.9752377059442632,0.0212844983728106,0.9487822226301414
2835,0.75,272.0,Sobol2,0.001,5.0,200.0,6.0999755859375,51.310662031173706,0.0163980841461848,0.9756407335602024,0.0191767132610494,0.9733122699501144,0.0164406279935213,0.9611912574587606
2836,0.75,294.0,Grid1296,0.001,9.0,200.0,23.80858039855957,19.000423908233643,0.0495764533077708,-0.0562613399825939,0.0499612251956089,-0.1934885774878207,0.0727615000964763,-1.316528286371755
2837,0.75,294.0,Grid2401,0.001,661.0,200.0,34.389007568359375,0.8284454345703125,0.0472012568950059,0.4456627386397602,0.0467872091851454,0.4482019602004358,0.0820098147805134,-2.427381712621834
2838,0.75,294.0,Sobol1,0.001,9.0,200.0,76.0513687133789,34.46217393875122,0.0753711973363991,-0.1851531151712562,0.0739689512523992,-0.0883800627379625,0.0632333071848727,0.1982733844122218
2839,0.75,294.0,Sobol2,0.001,5.0,200.0,6.144873142242432,51.918094635009766,0.0138639065178913,0.9826691508428608,0.0188665858829331,0.9669972286635544,0.0159112630536816,0.9610568720198028
2840,0.75,297.0,Grid1296,0.001,9.0,200.0,62.48393249511719,18.792976140975952,0.0375630523011842,0.4901130216325537,0.0341102446156336,0.5729345564016739,0.0661720151445982,-0.1673258131589858
2841,0.75,297.0,Grid2401,0.001,661.0,200.0,29.75079727172852,0.8285491466522217,0.0440439464792249,0.3458475077178564,0.043135685201787,0.3822837140342052,0.0788021121803738,-3.0847816875005423
2842,0.75,297.0,Sobol1,0.001,9.0,200.0,9.08817195892334,33.77132797241211,0.0155866342156824,0.9831805620429336,0.0165923043484331,0.9779449990757596,0.0210584036879004,0.9520033100516204
2843,0.75,297.0,Sobol2,0.001,5.0,200.0,13.957018852233888,52.35930609703064,0.0190047393474138,0.9769895483116336,0.0181632502518969,0.9672776713252992,0.0157530929545077,0.9658458332231056
