,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
0,0.85,222.0,Sobol1,0.0088556105329577,0.9936200137101272,0.0165633336332151,0.9545819579271236
1,0.95,951.0,Sobol1,0.0092950453570395,0.991706590103783,0.0149630863713696,0.9561132209500386
2,0.95,490.0,Sobol1,0.0094180839858246,0.9936530298220292,0.0164422055307021,0.9550517750035076
3,0.95,222.0,Sobol1,0.0096347228686504,0.9938389498714052,0.0166205900652711,0.955544491847233
4,0.95,999.0,Sobol1,0.0096457909663765,0.9918123783064878,0.0185456516107963,0.9493596952676802
5,0.95,171.0,Sobol1,0.0097731154636778,0.989498041630252,0.0164087760670802,0.9513964302816352
6,0.95,561.0,Sobol1,0.0102288357450748,0.991251183077914,0.0177083180415379,0.9501575885861278
7,0.85,669.0,Sobol1,0.0102855447367039,0.9906072418538784,0.0177768701713791,0.9501614586642948
8,0.85,633.0,Sobol1,0.0104003327103034,0.9898819975780048,0.0179629448617352,0.9504009671467092
9,0.85,877.0,Sobol1,0.0104413157560396,0.9924358788510186,0.0192801187357815,0.9497264970058612
10,0.95,928.0,Sobol1,0.0104822870781322,0.99039604101068,0.017192765412396,0.9496614846270476
11,0.85,78.0,Sobol1,0.010546693281574,0.9927662194088644,0.0205932246515243,0.9452860149531224
12,0.95,986.0,Sobol1,0.0105491220051147,0.9904540169639884,0.016001686456276,0.9542648368996504
13,0.95,968.0,Sobol1,0.0105679966358463,0.9922714365251184,0.0161536873773133,0.9537740055525924
14,0.85,35.0,Sobol1,0.0105859924288088,0.9904332380332848,0.0190231910828315,0.9453326968054184
15,0.95,588.0,Sobol1,0.0107934575402872,0.9882471773450004,0.0171057408206885,0.950278844860522
16,0.95,634.0,Sobol1,0.0109563174308699,0.9906744760895732,0.0172543215478673,0.9535720620850252
17,0.9,791.0,Sobol1,0.010981184706773,0.9881658489857164,0.0182751250408071,0.948027691163449
18,0.85,986.0,Sobol1,0.0109985657987207,0.988157567213035,0.0165291848864762,0.9510236533126808
19,0.95,554.0,Sobol1,0.0110995006097228,0.9909114269283008,0.0171430902704354,0.9527657011947522
20,0.85,725.0,Sobol1,0.011110694343261,0.9892183471563858,0.0170788052237941,0.9515071306637064
21,0.85,829.0,Sobol1,0.0111515428022495,0.988483914145102,0.0167653813069813,0.9523675738187396
22,0.85,249.0,Sobol1,0.0112533169066148,0.9922452788734756,0.0211424603677382,0.9441687656141616
23,0.85,936.0,Sobol1,0.0112907006938029,0.9916464281768472,0.0197781336337187,0.947832653540481
24,0.95,633.0,Sobol1,0.0113106142875136,0.986201900635286,0.0180052486878536,0.9480789680964576
25,0.85,721.0,Sobol1,0.0113106756825237,0.9898381743731796,0.018425717542233,0.9473761188372858
26,0.95,936.0,Sobol1,0.0113237823934715,0.9872822419492596,0.016791199933083,0.9496356628393856
