,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,678.0,Grid1296,0.05209677899811568,-1.674514374223747,0.08255496425516425,-4.675026664375624
1,0.05,678.0,Grid2401,0.03940729507565501,0.4205077748960595,0.08824552099689978,-3.64956943332806
2,0.05,678.0,Sobol1,0.10418684452910372,-1.0838443363745247,0.0749145841747898,-0.1425980934489599
3,0.05,678.0,Sobol2,0.1034727928773366,-1.5957187838487212,0.07918993353106925,-0.38802897710584183
4,0.05,147.0,Grid1296,0.053032569246645615,0.2042587816182614,0.07956970505722331,-1.3198947442307394
5,0.05,147.0,Grid2401,0.05414450738590762,-0.2679270617016869,0.0873989113467159,-7.070720426911139
6,0.05,147.0,Sobol1,0.11126322360803088,-0.34992790664152307,0.09767218971101961,0.10143213033159659
7,0.05,147.0,Sobol2,0.10072867838540744,-0.9217670167050325,0.07446977953752089,0.12169391776221439
8,0.05,561.0,Grid1296,0.045053292887896564,0.2652005361856634,0.08264994237061708,-2.4483967309162855
9,0.05,561.0,Grid2401,0.0425098594097646,-0.369998823530318,0.09243722456584286,-9.770365613679694
10,0.05,561.0,Sobol1,0.09284735629226899,-0.5716755460356266,0.07640968926668654,-0.4964348125759468
11,0.05,561.0,Sobol2,0.08874431710989988,-8.02037791664631,0.07111471980282974,-3.4179997061006038
12,0.05,237.0,Grid1296,0.07029921852174545,-2.235076041333219,0.08162754043292082,-1.375533870949408
13,0.05,237.0,Grid2401,0.044144423078441984,0.23232645344113512,0.0875009351126454,-5.666818440864384
14,0.05,237.0,Sobol1,0.10082178948229266,-1.3522230743781614,0.07022669338901198,-0.2423754467059318
15,0.05,237.0,Sobol2,0.10368756224652718,-2.3335385370833137,0.06861978472220213,-0.6922213019943186
16,0.05,588.0,Grid1296,0.04962657006647052,-0.15499919123430828,0.08682534523201849,-2.9944584837228305
17,0.05,588.0,Grid2401,0.054283328499819115,-0.9824345519155184,0.09121625715657991,-7.718609434526353
18,0.05,588.0,Sobol1,0.08853999434160352,-1.219469160758457,0.070608180665999,-0.1870209280068318
19,0.05,588.0,Sobol2,0.08657580291420995,-0.38493427395314717,0.07442202903050871,0.10315619437214318
20,0.05,951.0,Grid1296,0.06191719295761704,-0.2112701048490071,0.08001595960468433,-1.2998360282790435
21,0.05,951.0,Grid2401,0.038082840119183364,0.6672563469409689,0.08789352416683889,-3.7024516819031703
22,0.05,951.0,Sobol1,0.11360306158808665,-4.889866970405139,0.06848627394203853,-0.9526838273120659
23,0.05,951.0,Sobol2,0.10095214575280259,-4.720320312241161,0.07041525856742836,-1.199351589717963
24,0.05,490.0,Grid1296,0.05040209078219975,0.12716027901043703,0.08225923841488972,-0.8139260567766751
25,0.05,490.0,Grid2401,0.049195330863118926,-0.5112361255797448,0.08885750790222631,-7.387311603537423
26,0.05,490.0,Sobol1,0.09256665525799124,-0.7345328063458847,0.08603253841115635,-0.4601594395955919
27,0.05,490.0,Sobol2,0.09890446332362293,-0.37555074801936383,0.07312282108662962,0.10279122008319286
28,0.05,395.0,Grid1296,0.06230940917986488,-2.586474964054261,0.08601484993837653,-3.960735249208973
29,0.05,395.0,Grid2401,0.0438396524144531,0.2683006185632394,0.09151243235601768,-6.064396795601022
30,0.05,395.0,Sobol1,0.07989171889603544,-0.21049022918178295,0.07617052652706563,0.1085233631370982
31,0.05,395.0,Sobol2,0.10027425005044842,-1.2085099861626958,0.07537243015706016,-0.03578579473192711
32,0.05,877.0,Grid1296,0.05623939695810033,-0.9854698263828772,0.08533663014701184,-2.33589747630793
33,0.05,877.0,Grid2401,0.04036100624511801,0.5249891574531995,0.09088478302233456,-5.004251287781064
34,0.05,877.0,Sobol1,0.09222199656292245,-0.6189003519138301,0.07861924737723407,0.038162064420163455
35,0.05,877.0,Sobol2,0.08261295682029163,-1.2241753435782043,0.0792190368789993,-0.6390988005699048
36,0.05,297.0,Grid1296,0.06451829919336656,-3.5395034708894464,0.09173210557015525,-6.996005478561977
37,0.05,297.0,Grid2401,0.036141287590579795,0.628945308246978,0.09255326112741008,-4.86195837880663
38,0.05,297.0,Sobol1,0.09623633979824761,-1.770616878880448,0.06602492947561912,-0.43567126928876565
39,0.05,297.0,Sobol2,0.07883722895646976,-0.77758070323827,0.07200766598737393,-0.4296381897796673
40,0.05,721.0,Grid1296,0.06755000505143754,-0.4471287932043335,0.0811961051766857,-1.3485577417020247
41,0.05,721.0,Grid2401,0.043227114244746706,0.516296756272749,0.08378243158256919,-3.192809075025825
42,0.05,721.0,Sobol1,0.10273994344404298,-2.970948421464182,0.0673952329633239,-0.47696386545416014
43,0.05,721.0,Sobol2,0.08751968812212214,0.27406232652119344,0.09019979625617679,0.23341582852198883
44,0.05,711.0,Grid1296,0.04928477671473462,-0.4894441605516564,0.08042633779519022,-3.5495157684343877
45,0.05,711.0,Grid2401,0.047347335103694786,0.21390819315142584,0.08915628826988874,-4.79839067029378
46,0.05,711.0,Sobol1,0.0922111669236316,-0.185488574163444,0.08582381959439862,-0.22226693787845675
47,0.05,711.0,Sobol2,0.09855440366514132,-2.055315089383162,0.07541106016549874,-0.48462115733986866
48,0.05,985.0,Grid1296,0.05186919079137569,-0.06252717555700471,0.08093143826411633,-1.611656263053069
49,0.05,985.0,Grid2401,0.042086458561756725,0.40974398905310105,0.09328510606530924,-5.652145564496448
50,0.05,985.0,Sobol1,0.08265132848466739,-0.4640367091501134,0.0749780137397089,-0.2113368729732361
51,0.05,985.0,Sobol2,0.09975877224667123,-1.195875259018297,0.07595352689862642,-0.1873518799616951
52,0.05,171.0,Grid1296,0.05952785953271563,0.07213358616065024,0.0795856665287539,-0.7918445943201529
53,0.05,171.0,Grid2401,0.05792776524772823,-2.172823218787238,0.09213233956278344,-12.341032601433943
54,0.05,171.0,Sobol1,0.10928432666549111,-3.394371068866554,0.07143223099299037,-1.1611475271252987
55,0.05,171.0,Sobol2,0.10266325897946994,-2.249747032954071,0.07079586479137373,-0.8871841011839214
56,0.05,75.0,Grid1296,0.0536335231306632,-0.332689912830767,0.0765095537130657,-1.759222297311727
57,0.05,75.0,Grid2401,0.04559421042916536,0.1260056757864858,0.0882521886225848,-6.82386356629283
58,0.05,75.0,Sobol1,0.09158262859646864,-0.6892388669890781,0.07447942403493077,0.08212795568090847
59,0.05,75.0,Sobol2,0.08739682078170544,-0.8407738823723028,0.07308330134683298,-0.26785098092534176
60,0.05,16.0,Grid1296,0.046470533857555285,0.09744250319581549,0.08073877190292862,-2.524097001971259
61,0.05,16.0,Grid2401,0.04660328047702111,-0.034720246799498256,0.0912007638468995,-5.5256071210095845
62,0.05,16.0,Sobol1,0.07733317464807363,-1.3243062854144871,0.06870720242015543,-0.3939264533193316
63,0.05,16.0,Sobol2,0.08636145122406226,-3.1490434329746595,0.0692615827195577,-1.8220338724676952
64,0.05,669.0,Grid1296,0.05941301143926896,-0.923342453212058,0.0868841215952779,-1.9213045360106187
65,0.05,669.0,Grid2401,0.050009458503199315,0.34205908816003594,0.09003046582553947,-4.907323626000185
66,0.05,669.0,Sobol1,0.11382803057995046,-1.259602055114057,0.07336955714915136,-0.007298201174470886
67,0.05,669.0,Sobol2,0.09272771611604613,-1.0052064890650159,0.07138257385461762,0.025178310834610418
68,0.05,530.0,Grid1296,0.05665570419018349,-0.9412817757705818,0.08074178376520048,-3.084660928067091
69,0.05,530.0,Grid2401,0.0459176827468939,0.49001160739507266,0.08746174850179633,-3.2690947777422945
70,0.05,530.0,Sobol1,0.08435553284729139,-0.17106961187112946,0.07280506110483283,0.06392766312462883
71,0.05,530.0,Sobol2,0.10048698237406926,-4.100386735512463,0.07109053424931874,-1.5621997638747267
72,0.05,999.0,Grid1296,0.06854430459087155,-0.8547824882620152,0.07814672985952668,-0.8935445581559647
73,0.05,999.0,Grid2401,0.04271152621378532,0.6228504912496134,0.09441068830503978,-3.9376330407091595
74,0.05,999.0,Sobol1,0.11705522680125827,-0.7193724259486884,0.0898909249334449,0.2053292606250563
