,ratio,rndint,dataset,#trees,mape_ist,r2_ist,mape_ost,r2_ost
0,0.05,678.0,Grid1296,10.0,0.006014333647057426,0.9957370419443932,0.044283540266206664,0.8480004890073805
1,0.05,678.0,Grid2401,10.0,0.007051324863604757,0.9263113678233642,0.09018443801571525,0.3695246686356255
2,0.05,678.0,Sobol1,10.0,0.013556176581382117,0.9875701040241747,0.01804039168238531,0.9434322739221421
3,0.05,678.0,Sobol2,10.0,0.017754228033917276,0.9830458132013543,0.0159624307283439,0.958187372217864
4,0.05,678.0,Grid1296,100.0,0.005727914947439126,0.9957427643886405,0.0444494880788637,0.8468437169926937
5,0.05,678.0,Grid2401,100.0,0.006217032994442733,0.9496620419614297,0.09093575037436129,0.35941416653524505
6,0.05,678.0,Sobol1,100.0,0.011876557335943132,0.9908829973564359,0.017342204389619385,0.9458509800139429
7,0.05,678.0,Sobol2,100.0,0.015916061292909327,0.9838099869222194,0.015217307741347042,0.960936261741987
8,0.05,678.0,Grid1296,250.0,0.005827246976770161,0.9953168283416063,0.044443584353162195,0.8469818892521813
9,0.05,678.0,Grid2401,250.0,0.006222731027967269,0.9478598388828484,0.09079451208520775,0.361346799751053
10,0.05,678.0,Sobol1,250.0,0.011432627802931035,0.9918372039943666,0.017380517307754133,0.9456843582762111
11,0.05,678.0,Sobol2,250.0,0.015201185601285881,0.9841554932584393,0.015218130328223901,0.9601707153603124
12,0.05,678.0,Grid1296,500.0,0.005790164334917683,0.9954014818212115,0.04438593024364227,0.8475127048131805
13,0.05,678.0,Grid2401,500.0,0.006183785506469851,0.949041802919672,0.09080914559454174,0.3614061121513127
14,0.05,678.0,Sobol1,500.0,0.011255262897008646,0.9921055446038008,0.01731015962567282,0.9460651590421764
15,0.05,678.0,Sobol2,500.0,0.015111023037797936,0.9838459207722542,0.015204632967830254,0.960122828690586
16,0.05,678.0,Grid1296,750.0,0.005801061619749694,0.9952985595578608,0.04439811774946135,0.8473823501035074
17,0.05,678.0,Grid2401,750.0,0.0060874499900888,0.9533549772575405,0.09075837383573693,0.36215968363695794
18,0.05,678.0,Sobol1,750.0,0.011309525309633401,0.9920415881806294,0.01730554000954659,0.946165489394537
19,0.05,678.0,Sobol2,750.0,0.015114949197976171,0.9835002796510072,0.015154528656600887,0.9602205657219232
20,0.05,678.0,Grid1296,1000.0,0.005789792493731206,0.9953192338707999,0.044406340226644414,0.8473119992326767
21,0.05,678.0,Grid2401,1000.0,0.006116308859050695,0.9527985758394975,0.09075082415162328,0.36215758745458326
22,0.05,678.0,Sobol1,1000.0,0.011296187042197599,0.9920304879850476,0.017299500490480933,0.9462477742484352
23,0.05,678.0,Sobol2,1000.0,0.015234457469425856,0.983337222051629,0.01513487743967298,0.960427637879831
24,0.05,147.0,Grid1296,10.0,0.004471452021864895,0.9970745044717704,0.044202759398390024,0.8492127270885726
25,0.05,147.0,Grid2401,10.0,0.009794135504397287,0.9163493732954121,0.08998568138554051,0.3702790514823844
26,0.05,147.0,Sobol1,10.0,0.012668326364021855,0.9886646704337239,0.018145182778504212,0.9435583549110773
27,0.05,147.0,Sobol2,10.0,0.011748178232640271,0.9901283038134889,0.01571605460961955,0.957441995306785
28,0.05,147.0,Grid1296,100.0,0.004637748280801439,0.9968064423880485,0.04425391272015882,0.848915581656331
29,0.05,147.0,Grid2401,100.0,0.00878109921631836,0.931083329403718,0.09016383768953598,0.36978778719263405
30,0.05,147.0,Sobol1,100.0,0.012012693690794619,0.9892622088019276,0.017512407098826333,0.9450578296497242
31,0.05,147.0,Sobol2,100.0,0.011346103560329421,0.9906296491057994,0.014919517766042459,0.9617505755545374
32,0.05,147.0,Grid1296,250.0,0.004604727739545983,0.9968457604799575,0.04432715828622278,0.8483805232894638
33,0.05,147.0,Grid2401,250.0,0.008652168290762796,0.9365392472893287,0.09019479868574427,0.3697041414068927
34,0.05,147.0,Sobol1,250.0,0.011892739836654915,0.9896658092743921,0.01745947492331487,0.945692777891562
35,0.05,147.0,Sobol2,250.0,0.011081030910526138,0.9904265885574725,0.014940218470789803,0.9609763742844464
36,0.05,147.0,Grid1296,500.0,0.004613745829674962,0.9968001361922316,0.04436033360085127,0.8480929686458034
37,0.05,147.0,Grid2401,500.0,0.00848462167446924,0.9389866678003594,0.09024303594542983,0.36912093547108304
38,0.05,147.0,Sobol1,500.0,0.011783072036749718,0.99006628767856,0.01746241168155249,0.9458150869134414
39,0.05,147.0,Sobol2,500.0,0.010537584509889172,0.9915039782056884,0.014941901611236959,0.961126851998943
40,0.05,147.0,Grid1296,750.0,0.004621009153101556,0.9968346359778997,0.04438092009391238,0.8478695490814967
41,0.05,147.0,Grid2401,750.0,0.0082866078782804,0.9435604609994558,0.0902273775104432,0.3694500057622907
42,0.05,147.0,Sobol1,750.0,0.011788567907256811,0.9901559327224078,0.01742573968823011,0.9460780787856994
43,0.05,147.0,Sobol2,750.0,0.01062405821185814,0.9913038275706579,0.014936937047204137,0.9610314956876435
44,0.05,147.0,Grid1296,1000.0,0.00459643854394159,0.9968585010412013,0.04437888235808695,0.8478786921839678
45,0.05,147.0,Grid2401,1000.0,0.008301897074256642,0.9432979748278228,0.09026069261679372,0.3688864772831836
46,0.05,147.0,Sobol1,1000.0,0.011826711565540219,0.9900050726049783,0.017393550782948734,0.9461524903561085
47,0.05,147.0,Sobol2,1000.0,0.010522753734563154,0.9915304620006768,0.014935601889426326,0.9610520139707428
