,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
30,0.05,395.0,Sobol1,0.10005799795662737,0.6094992436868287,0.09264366294831694,0.40239372070466584
31,0.05,395.0,Sobol2,0.12163104605618742,0.5541990567574951,0.09331590496344978,0.37806190730444034
32,0.05,877.0,Grid1296,0.06809104139358568,0.24840771416413265,0.0963190657704431,0.40411161722787226
33,0.05,877.0,Grid2401,0.040868913047704625,0.7271034267645169,0.11958973929336421,0.06302912399118621
34,0.05,877.0,Sobol1,0.10743142669833301,0.5511307124161342,0.09246427318335007,0.4037803151493037
35,0.05,877.0,Sobol2,0.09672224338738385,0.42452943393645526,0.0941043491191033,0.3688370249979638
36,0.05,297.0,Grid1296,0.06672270534139715,0.491631138298239,0.09616705868755579,0.40935470976699395
37,0.05,297.0,Grid2401,0.037597068731441315,0.7519921439289791,0.11915713975828039,0.07112775825133044
38,0.05,297.0,Sobol1,0.1220565018373713,0.5105858211744119,0.09254925838550854,0.40277224341957274
39,0.05,297.0,Sobol2,0.09104596007724745,0.5618600267472983,0.09355203395653511,0.3753092611209622
40,0.05,721.0,Grid1296,0.07971525248082532,0.4353275691834785,0.09635950402280054,0.4040180184835478
41,0.05,721.0,Grid2401,0.04170121949909225,0.7160667571955114,0.11987233230595414,0.059621171990799526
42,0.05,721.0,Sobol1,0.13291852543062072,0.4439720868772702,0.09233493127043246,0.40461459862246385
43,0.05,721.0,Sobol2,0.09129202481638107,0.41753596264220827,0.09424317231653682,0.36698826143993546
44,0.05,711.0,Grid1296,0.06016344052309793,0.4226436752909083,0.0963245055085302,0.4094441065904483
45,0.05,711.0,Grid2401,0.04798529214253229,0.5877759192269096,0.11995370501664963,0.05893048007611701
46,0.05,711.0,Sobol1,0.1025454893745947,0.5429685491204796,0.09241180774701714,0.40415954138098353
47,0.05,711.0,Sobol2,0.12388868331605964,0.4327507006513023,0.09348961338819257,0.37557681946279553
48,0.05,985.0,Grid1296,0.05684974032114891,0.5088002699273628,0.09634296760600954,0.4069777753127306
49,0.05,985.0,Grid2401,0.040944533821933776,0.7487317170444847,0.1195381582574863,0.06349854974851021
50,0.05,985.0,Sobol1,0.0934751189291688,0.42605874708450864,0.0929582263273469,0.3985558932414349
51,0.05,985.0,Sobol2,0.11866053484946187,0.53777521766553,0.09331707585936823,0.3770969063132028
52,0.05,171.0,Grid1296,0.06305384745021152,0.543627430499445,0.09635530967883384,0.4034955723295337
53,0.05,171.0,Grid2401,0.04974946628122572,0.6598778638108236,0.11959786039265906,0.06341387900107287
54,0.05,171.0,Sobol1,0.12089949843737338,0.5448934490928,0.09235259098080845,0.404866245741885
55,0.05,171.0,Sobol2,0.11049069323634991,0.5701101552675532,0.09348915636564238,0.3750129685506435
56,0.05,75.0,Grid1296,0.06288928595491004,0.5543405828913537,0.09614310596322315,0.4094948161807157
57,0.05,75.0,Grid2401,0.05145127474067579,0.5254768505543179,0.11950882768134263,0.06584456519100446
58,0.05,75.0,Sobol1,0.1041129999857816,0.5430345580674769,0.09255793829153126,0.40298747847027583
59,0.05,75.0,Sobol2,0.10580710178324616,0.5747587731983076,0.09362215256309951,0.374717410477004
60,0.05,16.0,Grid1296,0.04893168378330875,0.5012704320601331,0.09640892084766814,0.40764336814855495
61,0.05,16.0,Grid2401,0.04224936512868013,0.6572779173315146,0.11965125624753015,0.06279922443912267
