,ratio,rndint,dataset,rmse,mape,r2,rmse_all,mape_all,r2_all
0,0.05,678.0,Grid1296,55.964585359294176,0.06674479188329849,0.45913183587905515,78.29512782877418,0.09592233189928986,0.409997556278729
1,0.05,678.0,Grid2401,35.90379404969111,0.040931385114931954,0.5709015021191666,101.38129969536323,0.11839432179572806,0.06503702213006102
2,0.05,678.0,Sobol1,76.55553335665857,0.10673422224884842,0.601678173726216,71.33833816336424,0.09281927505368237,0.4112388031953481
3,0.05,678.0,Sobol2,84.13151244270796,0.11733746509673759,0.4946301303759235,72.0660418191841,0.09370012800124124,0.3814735184550859
4,0.05,147.0,Grid1296,44.8649837611626,0.051950028278189724,0.6393569219399671,78.34730610794462,0.09579964148212085,0.4091750559037477
5,0.05,147.0,Grid2401,38.67123470655372,0.04531138124318829,0.749907944383404,101.24572694478418,0.11811579484396469,0.07556923663870874
6,0.05,147.0,Sobol1,83.07612918704883,0.11692178031211581,0.400239604517028,71.61397296164104,0.09322147357774628,0.40148801513449994
7,0.05,147.0,Sobol2,81.42917665800138,0.1154857804156772,0.4366813613255943,72.13805279246358,0.0938961584679398,0.3785481278863747
8,0.05,561.0,Grid1296,39.50455045344793,0.04428602432784985,0.7124552676042719,78.22757986516977,0.09576559853624853,0.410896506370363
9,0.05,561.0,Grid2401,42.88809875242969,0.04659442784696476,0.4836998128104669,101.49449456176677,0.11857839854179916,0.06379381679063356
10,0.05,561.0,Sobol1,74.03087828809649,0.10652412144015362,0.581920228708479,71.42039626861398,0.09306738655068054,0.40773968342612743
11,0.05,561.0,Sobol2,79.65843960110068,0.11582441913150182,0.47620709110881265,72.36749737342856,0.09430234787537592,0.37440410310658634
12,0.05,237.0,Grid1296,63.86200571408613,0.07490501523336326,0.39949670097329226,79.01323576946955,0.09604562891303074,0.39988539352962804
13,0.05,237.0,Grid2401,37.076546062360784,0.04443908335953994,0.7059514978947186,101.48641867521394,0.11850263188771644,0.0665766016359377
14,0.05,237.0,Sobol1,83.30522060917026,0.1168999440336472,0.5039673434910268,71.55446971951106,0.09313475213346478,0.40683489608936896
15,0.05,237.0,Sobol2,80.17000783261597,0.11622400877382404,0.5247493569467485,72.0824645144642,0.09382489146486181,0.38195983744980844
16,0.05,588.0,Grid1296,48.38315310262307,0.05903880661579197,0.3747093015682854,78.15748236807029,0.09597762161240433,0.41097244049005643
