,SigC,SigH,EpsC,EpsH,density
116,0.075,0.2048,0.4108,0.07,658.652
117,0.075,0.2048,0.4108,0.09,668.039
118,0.075,0.2048,0.4108,0.11,681.124
119,0.075,0.2048,0.4108,0.13,688.32
120,0.075,0.2048,0.5751,0.03,648.623
121,0.075,0.2048,0.5751,0.05,654.188
122,0.075,0.2048,0.5751,0.07,663.63
123,0.075,0.2048,0.5751,0.09,668.187
124,0.075,0.2048,0.5751,0.11,679.341
125,0.075,0.2048,0.5751,0.13,686.242
126,0.075,0.2048,0.7394,0.03,643.445
127,0.075,0.2048,0.7394,0.05,654.98
128,0.075,0.2048,0.7394,0.07,666.607
129,0.075,0.2048,0.7394,0.09,668.337
130,0.075,0.2048,0.7394,0.11,673.878
131,0.075,0.2048,0.7394,0.13,689.969
132,0.075,0.2048,0.9037,0.03,650.061
133,0.075,0.2048,0.9037,0.05,651.677
134,0.075,0.2048,0.9037,0.07,665.561
135,0.075,0.2048,0.9037,0.09,665.878
136,0.075,0.2048,0.9037,0.11,673.039
137,0.075,0.2048,0.9037,0.13,686.331
138,0.075,0.2048,1.068,0.03,647.455
139,0.075,0.2048,1.068,0.05,656.863
140,0.075,0.2048,1.068,0.07,665.982
141,0.075,0.2048,1.068,0.09,667.592
142,0.075,0.2048,1.068,0.11,677.813
143,0.075,0.2048,1.068,0.13,685.247
144,0.075,0.2503,0.2465,0.03,601.879
145,0.075,0.2503,0.2465,0.05,597.96
146,0.075,0.2503,0.2465,0.07,608.553
147,0.075,0.2503,0.2465,0.09,610.582
148,0.075,0.2503,0.2465,0.11,617.763
149,0.075,0.2503,0.2465,0.13,624.17
150,0.075,0.2503,0.4108,0.03,600.889
151,0.075,0.2503,0.4108,0.05,601.209
152,0.075,0.2503,0.4108,0.07,603.571
153,0.075,0.2503,0.4108,0.09,608.905
154,0.075,0.2503,0.4108,0.11,614.166
155,0.075,0.2503,0.4108,0.13,616.802
156,0.075,0.2503,0.5751,0.03,604.603
157,0.075,0.2503,0.5751,0.05,599.341
158,0.075,0.2503,0.5751,0.07,606.359
159,0.075,0.2503,0.5751,0.09,611.269
160,0.075,0.2503,0.5751,0.11,618.169
161,0.075,0.2503,0.5751,0.13,618.875
162,0.075,0.2503,0.7394,0.03,595.486
163,0.075,0.2503,0.7394,0.05,597.898
164,0.075,0.2503,0.7394,0.07,607.304
165,0.075,0.2503,0.7394,0.09,612.526
166,0.075,0.2503,0.7394,0.11,614.57
167,0.075,0.2503,0.7394,0.13,624.563
168,0.075,0.2503,0.9037,0.03,604.867
169,0.075,0.2503,0.9037,0.05,605.762
170,0.075,0.2503,0.9037,0.07,607.228
