,ratio,rndint,dataset,degree,mape_ist,r2_ist,mape_ost,r2_ost
99,0.05,561.0,Sobol2,5.0,0.010800886401503363,0.994463675236038,0.014709159666863918,0.960420717307913
100,0.05,561.0,Grid1296,6.0,0.004438245498240606,0.9976355136327274,147224.80860318636,-3896519378771.3
101,0.05,561.0,Grid2401,6.0,0.023854065702774672,0.5834117996159265,0.07043146653706134,0.18947287234752075
102,0.05,561.0,Sobol1,6.0,0.005505180240488968,0.9985362344392535,0.01568409055759968,0.9486836726211693
103,0.05,561.0,Sobol2,6.0,0.006926502652993724,0.997341817487052,0.01366674935474413,0.9610128186296718
104,0.05,561.0,Grid1296,7.0,0.008393323461456709,0.9902662350144434,113369.90232330468,-2699356416753.563
105,0.05,561.0,Grid2401,7.0,0.02777048253210944,0.5795442763350711,74060.95160850891,-402100549722.4685
106,0.05,561.0,Sobol1,7.0,0.0049034616016048055,0.998793277231791,0.01597471221639093,0.9447318712745837
107,0.05,561.0,Sobol2,7.0,0.006607134703178497,0.9978278787271422,0.014004952847519321,0.9567347628752034
108,0.05,561.0,Grid1296,8.0,0.005925791067731194,0.9955050511464608,172788.51794615202,-6399904538992.021
109,0.05,561.0,Grid2401,8.0,0.03734453944344679,0.442718765699492,109442.95242664943,-935440814817.2169
110,0.05,561.0,Sobol1,8.0,0.004300087357874472,0.998884585040577,0.016091413031082222,0.9407861995873027
111,0.05,561.0,Sobol2,8.0,0.00558801372029699,0.9979643576146853,0.01424738272230329,0.9458469571443837
112,0.05,561.0,Grid1296,9.0,0.006424594718330179,0.9931775789674587,91451.22213908483,-2235960500233.781
113,0.05,561.0,Grid2401,9.0,0.024568522237869376,0.5785881764000413,71652.05148088773,-465293180926.5278
114,0.05,561.0,Sobol1,9.0,0.005555772714660685,0.9974728294684129,0.018603458296990623,0.9184583203294099
115,0.05,561.0,Sobol2,9.0,0.010190218628275651,0.9914621132854163,0.016938457191279663,0.9254427715977994
116,0.05,561.0,Grid1296,10.0,0.007093279289869497,0.9921208124815104,287635790.58271307,-2.540078556625031e+19
117,0.05,561.0,Grid2401,10.0,0.04270438243893955,0.3280820350204535,377988.63428266393,-13977213968560.94
118,0.05,561.0,Sobol1,10.0,0.0073148397188719395,0.995706241812401,0.02458477287782336,0.8167981104412223
119,0.05,561.0,Sobol2,10.0,0.020520419736122873,0.924014864521852,0.027334935596203286,0.6613104951746193
120,0.05,237.0,Grid1296,1.0,0.07490501523336346,0.3994967009732887,0.09626213848985243,0.3997127510956723
121,0.05,237.0,Grid2401,1.0,0.044439083359539666,0.7059514978947194,0.11986991166763866,0.05970700141388263
122,0.05,237.0,Sobol1,1.0,0.11689994403364717,0.5039673434910268,0.09261055812125285,0.40245563041623955
123,0.05,237.0,Sobol2,1.0,0.116224008773824,0.5247493569467492,0.09343506243716691,0.376195143817758
124,0.05,237.0,Grid1296,2.0,0.040427426480419894,0.8668765128240801,0.05754374964843428,0.7847676842097225
125,0.05,237.0,Grid2401,2.0,0.019837629946113124,0.9326475653658294,0.09153781383820438,0.37318771322590005
126,0.05,237.0,Sobol1,2.0,0.04769330216418654,0.9178337828598095,0.049576358355245535,0.8146595015205732
127,0.05,237.0,Sobol2,2.0,0.04289500050685792,0.9259543290017338,0.04867407596910438,0.8180830827039836
128,0.05,237.0,Grid1296,3.0,0.011637277632860456,0.9875367725451126,0.02871426747205659,0.9313517535890099
129,0.05,237.0,Grid2401,3.0,0.012393298499575572,0.9725320208314084,0.05239554188727023,0.8168469712964287
130,0.05,237.0,Sobol1,3.0,0.01684498058990257,0.9859501850596615,0.02396648140566831,0.914525922328052
131,0.05,237.0,Sobol2,3.0,0.022897586821316332,0.9719216940963605,0.021982250640534877,0.9322414850973145
132,0.05,237.0,Grid1296,4.0,0.007949999656003128,0.9943402836008024,0.04303288326828606,0.7651409032356692
133,0.05,237.0,Grid2401,4.0,0.007893050049883103,0.987978773945164,0.03700796271529678,0.7951167792489215
134,0.05,237.0,Sobol1,4.0,0.014489229589806984,0.9903514483371414,0.02110572808080719,0.9280280472543573
135,0.05,237.0,Sobol2,4.0,0.020866492618881512,0.9802505914118324,0.020663398507874027,0.9378612758144197
136,0.05,237.0,Grid1296,5.0,0.008180580443751157,0.9939228127088098,0.053951747622406857,0.5415156680922586
137,0.05,237.0,Grid2401,5.0,0.02049636175034177,0.9247369096024772,0.06770223999940041,0.3381367271683515
138,0.05,237.0,Sobol1,5.0,0.009008186815536294,0.9966099547931766,0.0165100591327981,0.9499843021797582
139,0.05,237.0,Sobol2,5.0,0.010831799378033788,0.9947424844684272,0.014626749141055663,0.9604112529762526
140,0.05,237.0,Grid1296,6.0,0.008245232768208589,0.9933718613406705,112877.13309994304,-2290477760867.3164
141,0.05,237.0,Grid2401,6.0,0.008052925948968299,0.9875778363347624,0.10967484260223889,-1.1661254880358936
142,0.05,237.0,Sobol1,6.0,0.006444887977945495,0.9972233917299033,0.015613493899724816,0.9494136347345841
143,0.05,237.0,Sobol2,6.0,0.008702720640053428,0.9962833550858851,0.01371762489038654,0.9604234082937809
144,0.05,237.0,Grid1296,7.0,0.009351346190401668,0.9894294247255079,173409.65594962044,-6256008859390.598
145,0.05,237.0,Grid2401,7.0,0.009023142574665643,0.9720228295567992,40094.49009871799,-117849039691.71394
146,0.05,237.0,Sobol1,7.0,0.005929100536573792,0.9971046197520558,0.015921293928834464,0.9451400684994266
147,0.05,237.0,Sobol2,7.0,0.008205252410610623,0.9947013024411966,0.013849083543431754,0.9579839105985357
148,0.05,237.0,Grid1296,8.0,0.013626809400402033,0.9762493668455402,332120.15612104395,-24292421288855.555
149,0.05,237.0,Grid2401,8.0,0.012503644893379101,0.9395684669821643,70220.63275874838,-382543006890.05347
150,0.05,237.0,Sobol1,8.0,0.0068376513542882465,0.9942111077004561,0.016472618784403592,0.9387447006624382
151,0.05,237.0,Sobol2,8.0,0.008695522164479316,0.9952964750109481,0.014191818545144891,0.947815709264989
152,0.05,237.0,Grid1296,9.0,0.012068179714954903,0.9776700599134004,69699400.27775386,-1.33336213261992e+18
153,0.05,237.0,Grid2401,9.0,0.015336012338636199,0.9079743199474036,58774.37851958544,-311427133373.4069
154,0.05,237.0,Sobol1,9.0,0.007726052148713857,0.9947058527540413,0.018799757030554427,0.9168488360634196
155,0.05,237.0,Sobol2,9.0,0.014408335665620437,0.9815926672332267,0.01680245623266141,0.9240906918259553
156,0.05,237.0,Grid1296,10.0,0.01866867437489576,0.9385439004715797,488313.65329387574,-73727287502811.22
157,0.05,237.0,Grid2401,10.0,0.021461341691336566,0.8069195108721208,3379669.0255493363,-1163947056729019.5
158,0.05,237.0,Sobol1,10.0,0.012775458814042922,0.9587403277160296,0.02430150483525141,0.8464432821669083
159,0.05,237.0,Sobol2,10.0,0.02526942794666208,0.7860941368304577,0.02475618672219747,0.7640171907583436
160,0.05,588.0,Grid1296,1.0,0.05903880661579207,0.3747093015682852,0.09635592695984582,0.4110265347539793
161,0.05,588.0,Grid2401,1.0,0.04274382379783421,0.6883827001951192,0.11986671696034383,0.05850989064185064
162,0.05,588.0,Sobol1,1.0,0.11690201691288994,0.46472509595097433,0.09257612742719913,0.40238602889081143
163,0.05,588.0,Sobol2,1.0,0.09989831787912624,0.6034280458437156,0.09327425188863332,0.37807296198882867
164,0.05,588.0,Grid1296,2.0,0.024753440885853066,0.8973179766449457,0.05765570576452702,0.7859437854297274
165,0.05,588.0,Grid2401,2.0,0.02219653315604431,0.8686547488913159,0.09184516436036744,0.36759064573985833
166,0.05,588.0,Sobol1,2.0,0.0523468194707953,0.8938660668748653,0.049649417934357676,0.8145217614520728
167,0.05,588.0,Sobol2,2.0,0.041910223073014535,0.9209137703523856,0.048718572448037276,0.8179360793653735
168,0.05,588.0,Grid1296,3.0,0.012915243661223498,0.9660373284406858,0.03017262688982502,0.9216490503174738
169,0.05,588.0,Grid2401,3.0,0.015960813950530242,0.9059974930253084,0.05217372155945672,0.8186127857272987
170,0.05,588.0,Sobol1,3.0,0.01767225411192003,0.9867888198704453,0.023873071526724444,0.9155558788671703
171,0.05,588.0,Sobol2,3.0,0.02115910520743689,0.9749117046655761,0.0220000492891194,0.9323678762517675
172,0.05,588.0,Grid1296,4.0,0.007853825223072314,0.9885292441704273,0.04249307519497384,0.7828820634680038
173,0.05,588.0,Grid2401,4.0,0.010551649840428074,0.9324601398816668,0.03635719873000559,0.803368872641635
174,0.05,588.0,Sobol1,4.0,0.012373697260366162,0.9933735487353792,0.021019818918842192,0.9289307998396318
175,0.05,588.0,Sobol2,4.0,0.019363187622090723,0.9822970314506118,0.02064536002234812,0.9387165155314008
176,0.05,588.0,Grid1296,5.0,0.0036591681155204972,0.9972990064061591,0.05471785743379785,0.5279788077268727
177,0.05,588.0,Grid2401,5.0,0.00985485453333369,0.9332540904674972,0.08094274834883271,-0.03942420200031349
178,0.05,588.0,Sobol1,5.0,0.007748285453443751,0.9971060326345715,0.01604534082009701,0.9517829513887205
179,0.05,588.0,Sobol2,5.0,0.008193815033642419,0.9964877989290698,0.014671309986899691,0.9603124673011396
180,0.05,588.0,Grid1296,6.0,0.0037478442546831003,0.9970262339733835,82318.77966716379,-1218183841535.7278
181,0.05,588.0,Grid2401,6.0,0.012205431502523883,0.9273586660657136,0.09458022477902521,-0.5335951875898841
182,0.05,588.0,Sobol1,6.0,0.005481315070106552,0.998340482470517,0.015670466965149284,0.9485078631682532
183,0.05,588.0,Sobol2,6.0,0.00800102012148865,0.9970490008482398,0.013679033890046021,0.9606315274527157
184,0.05,588.0,Grid1296,7.0,0.0036063301022338174,0.9970356715617954,22670.253456028015,-106982551210.12317
185,0.05,588.0,Grid2401,7.0,0.013613512030105223,0.9147507714544553,2536.175125662105,-471542902.5102678
186,0.05,588.0,Sobol1,7.0,0.005706814366689477,0.998162055926386,0.015966969789652456,0.9446362761078333
187,0.05,588.0,Sobol2,7.0,0.00742461952852933,0.9969934666845329,0.013891759679654872,0.9581133479714695
188,0.05,588.0,Grid1296,8.0,0.005323852412885795,0.9910157555479564,18193.268452775286,-73531640432.84846
189,0.05,588.0,Grid2401,8.0,0.015616240192037287,0.8904283992709363,15129.045197247102,-17729521089.407986
190,0.05,588.0,Sobol1,8.0,0.006332215841282918,0.9973343682463056,0.016213721854641983,0.9402998802991276
191,0.05,588.0,Sobol2,8.0,0.00933221600365807,0.9931009026461471,0.014243040580866085,0.9487572314216236
192,0.05,588.0,Grid1296,9.0,0.006703458538731922,0.9890426711787337,224482896.10783386,-1.406802960936413e+19
193,0.05,588.0,Grid2401,9.0,0.01985224754738904,0.841712984542363,22655.75399135341,-46096216107.25493
194,0.05,588.0,Sobol1,9.0,0.0066224931692020084,0.99696250273915,0.018650265125832132,0.9196074981525527
195,0.05,588.0,Sobol2,9.0,0.011915378511088072,0.983627396164321,0.017330589932196074,0.913663926256828
196,0.05,588.0,Grid1296,10.0,0.012823305129466528,0.9336883767311545,1004169.5698718947,-313651338846237.56
197,0.05,588.0,Grid2401,10.0,0.024880538785753553,0.7545822572692773,1832619.6425173418,-341390415808909.1
198,0.05,588.0,Sobol1,10.0,0.008897226191745142,0.9929717217459583,0.02462867943130126,0.8325195560547819
199,0.05,588.0,Sobol2,10.0,0.023075156377233553,0.9502723239839546,0.02472647260217265,0.7582094914782953
200,0.05,951.0,Grid1296,1.0,0.06724746328784564,0.5762039872415053,0.09626422784157906,0.40451993480842185
201,0.05,951.0,Grid2401,1.0,0.03823628576885495,0.7653893338962673,0.11941444435614727,0.06593791549786676
202,0.05,951.0,Sobol1,1.0,0.14143004091714886,0.5647850359759808,0.09199287646376286,0.40833726978298457
203,0.05,951.0,Sobol2,1.0,0.13782884997766626,0.3793617928279077,0.09312194495471975,0.38014282408820377
204,0.05,951.0,Grid1296,2.0,0.03383977506907228,0.9126141860351038,0.05737021998818992,0.7873110982119125
205,0.05,951.0,Grid2401,2.0,0.017692255354683408,0.9356452630021358,0.09168606942039073,0.3706358231121747
206,0.05,951.0,Sobol1,2.0,0.06182646066577907,0.917733623594825,0.04944541321464477,0.8156769093961768
207,0.05,951.0,Sobol2,2.0,0.053310870647908466,0.8934164490158459,0.048671418853127854,0.8183297629976619
208,0.05,951.0,Grid1296,3.0,0.0124602812203026,0.9846977146471244,0.027260746090857917,0.9335295709020507
209,0.05,951.0,Grid2401,3.0,0.011345045413116836,0.9741325223261006,0.05225603312612176,0.8182180324661652
210,0.05,951.0,Sobol1,3.0,0.022075969316926496,0.9857051892619094,0.02381399389605399,0.9158820824467939
211,0.05,951.0,Sobol2,3.0,0.04045773465420732,0.9243844478926442,0.025501803626607842,0.9214903975676983
212,0.05,951.0,Grid1296,4.0,0.0073332449143575324,0.9942703442137303,0.043403942631000475,0.7600886746458073
213,0.05,951.0,Grid2401,4.0,0.007982068344009855,0.9864497708114156,0.03607335311387309,0.8035669356352378
214,0.05,951.0,Sobol1,4.0,0.017593601693099474,0.9911475251565838,0.02093621918634816,0.9298460614774553
215,0.05,951.0,Sobol2,4.0,0.03252322711582292,0.9541876017614987,0.02038469322385415,0.9394606619126521
216,0.05,951.0,Grid1296,5.0,0.005694089421172148,0.9958754755787887,0.054575664103203636,0.531224732384468
217,0.05,951.0,Grid2401,5.0,0.010526574319368452,0.9802631723018366,0.08084960890835005,0.0017082163006696405
218,0.05,951.0,Sobol1,5.0,0.011970689207091576,0.9948147954276011,0.015918555417297857,0.9523314860954936
219,0.05,951.0,Sobol2,5.0,0.01519840316269003,0.9872577872229074,0.014647183220567328,0.9601838196834421
220,0.05,951.0,Grid1296,6.0,0.006006089037469751,0.9961953460006288,42407.90358007971,-323301900798.60425
221,0.05,951.0,Grid2401,6.0,0.007518181620637246,0.9872318745626784,0.09511360475005376,-0.5882368778580795
222,0.05,951.0,Sobol1,6.0,0.008222590564142434,0.9965037543031707,0.015608413166897036,0.9487475633671192
223,0.05,951.0,Sobol2,6.0,0.013143077453478522,0.9904222309113804,0.01365436661690074,0.9603696573219414
224,0.05,951.0,Grid1296,7.0,0.006207366750379359,0.9961349736388275,15733.06644884473,-51596710740.01663
225,0.05,951.0,Grid2401,7.0,0.011543483878657713,0.976331903287095,8261.831352186562,-5003920825.914116
226,0.05,951.0,Sobol1,7.0,0.008010102020150872,0.9964945091323758,0.016237913156874825,0.9431063232002065
227,0.05,951.0,Sobol2,7.0,0.011217391727393469,0.9932296302588308,0.013675975107090035,0.9584762811746628
228,0.05,951.0,Grid1296,8.0,0.0059331374182263075,0.9962053056431174,86684.35534246103,-1649430124401.1873
229,0.05,951.0,Grid2401,8.0,0.009016541661655818,0.9764894253141023,33088.61613798237,-84878028565.70787
230,0.05,951.0,Sobol1,8.0,0.008018683096745301,0.9959838188390405,0.01668384937126469,0.9346781465536935
231,0.05,951.0,Sobol2,8.0,0.012766196911129802,0.991411271484932,0.014208244480859895,0.9496975194278394
232,0.05,951.0,Grid1296,9.0,0.00835766812260118,0.9936330752508942,16130.843097134362,-58341873109.68627
233,0.05,951.0,Grid2401,9.0,0.015025998189530876,0.9517416900464506,13162.720075074423,-15709157594.278624
234,0.05,951.0,Sobol1,9.0,0.008619758540213728,0.9955511715458938,0.01845906612325921,0.9159965590539952
235,0.05,951.0,Sobol2,9.0,0.019378506774264448,0.9735310747682301,0.01651406975800053,0.9270411093351835
236,0.05,951.0,Grid1296,10.0,0.010046264034386009,0.9892377717713674,367004.4380441635,-42154009459391.31
237,0.05,951.0,Grid2401,10.0,0.017852042974613746,0.912189148324166,14966.352491016922,-37029808461.91097
238,0.05,951.0,Sobol1,10.0,0.009448049276937572,0.994920140560976,0.022129509868654244,0.8689599638434355
239,0.05,951.0,Sobol2,10.0,0.03468542601021017,0.9114149010183372,0.02542258414996459,0.7122602883987261
240,0.05,490.0,Grid1296,1.0,0.05521709162128966,0.4478883889584957,0.09620719832954351,0.40870804456663967
241,0.05,490.0,Grid2401,1.0,0.04856838472237927,0.5450795636394354,0.12036931471251645,0.05173756316851941
